,Unnamed: 0,Sentence,Schema,Schema Slot,Negative Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
1621,1621,The Second amendment illuminates one of the most basic rights inherent in being a free human being.,11 Darkness and Light,Relationship,Beneficial,CREATIONAL,,illuminates,Second amendment,Gun Rights,illuminates,Light,2377645,,
1339,1339,"You do realize, that when you distill government down to its most basic form, it is nothing more than a monopoly on force?",05 Engineering and Business: Resource,Change Type,Victim,IMPROVE,,distill,government,Government,distill,Resource,152731,,
307,307,The devastation of democracy is clearly evident in the historical record.,01 Health and Safety,Threatened,Facilitator,democracy,,devastation,democracy,Democracy,devastation,Natural Physical Force/Physical Harm,155942,,
1083,1083,If even a tenth of the current military has the lack of morals to try and suppress the peoples of this country (hopefully to be many small countries in the end) I personally hope they rot in whatever hell you believe in along with the statist ninnies who worship gun control and the bully-by-proxy government we suffer with now.,04 Power and Control: God,God,Body,gun control,worship [god],worship,gun control,Control of Guns,worship,A God,2376886,,
735,735,In the mean time who is fighting gun control.,03 Conflict,Enemy,Body of Water,gun control,,fighting,gun control,Control of Guns,fighting,Struggle,2665361,,
1014,1014,The right wing and the gun lobby has so won the day on this issue that it would take a Sandy Hook massacre every month for a year or two to reverse the dynamic.,03 Conflict,Winner,Wild Animal,gun lobby,,won,gun lobby,Guns,won,Competition/Game,2905096,,
932,932,"There is no understandable logic in opposing a firearm that prevents non owners like teen agers and children, thieves from firing it.",03 Conflict,Side,Flowing,firearm,,opposing,firearm,Guns,opposing,Struggle,2109814,,
901,901,AT&T agrees to help fight childhood hunger,03 Conflict,Side,Worshipper,hunger,,fight,hunger,Poverty,fight,Struggle,2294245,,
1603,1603,"...s by Jacques-Louis David (1787) Socrates. Many are familiar with the name, but do we know the man? He is considered to be the father of democracy and a pivotal character of Western civilisation, but it may equally be that he was largely an invention by Plato.",10 Human Life Cycle and Family Relations,Parent,Child,Socrates,,father of,democracy,Democracy,father,Family,2673802,,
1028,1028,Inequalities created by the victory of wealth continue to trouble the serenity of this social harmony.,03 Conflict,Winner,Laboratory,wealth,,victory,wealth,Wealth,victory,Competition/War,3122740,,
722,722,"He continued by focusing on the positive steps that have been taken to decrease tax and custom rates, and efforts to fight the bureaucracy that previously crippled the opening and expanding of businesses and projects.",03 Conflict,Enemy,Body Part,bureaucracy,,fight,bureaucracy,Bureaucracy,fight,Struggle,2664290,,
719,719,That means that we must remain firm in our commitment to defeat gun control at every turn.,03 Conflict,Enemy,Winner,gun control,,defeat,gun control,Control of Guns,defeat,Struggle,2378716,,
163,163,They push gun control for voter support plain and simple and they fuel that angst for the evil gun through emotion therefore brainwashing their followers into believing it's a real problem when it's not.,01 Health and Safety,Threat,Winner,gun,,evil,gun,Guns,evil,Monster,2157699,,
1625,1625,"This is purposeful and dangerous reportage, misleading at best and designed to make the unthinking demand gun control escalation.",12 High and Low,Agent,Punishment,gun control,[agent] escalation,escalation,gun control,Control of Guns,escalation,Upward Movement,2378728,,
972,972,"What I respected is that she didn't use it to attack the firearm, it was just something she associated with her trauma and honestly I can't blame her for having that scar, it's a pretty scary thing to be involved in.",03 Conflict,Side,Beneficial Plant,firearm,,attack,firearm,Guns,attack,War,2673085,,
754,754,"so it is your learned opinion that because left wing idiots in a state that is hostile to gun rights adopted a silly law, other left wing anti gun idiots in other states would not? actually, the NJ law has been proposed in other states. as I said, you constantly attack gun owners and then pretend we are paranoid that people like you might actually try to impose your hate through legislation",03 Conflict,Enemy,Rain,gun owners,,attack,gun owners,Guns,attack,Struggle/War,2885643,,
1283,1283,"But over years and decades, social media will enhance democracy.",05 Engineering and Business: Engineering,Built,Topic,democracy,,enhance,democracy,Democracy,enhance,Movement/Upward Movement,2661473,,
1546,1546,If change does not come we might be seeing the final chapter of American democracy.,07 Systematic Explanations,Topic,Child,democracy,chapter of [topic],chapter of,democracy,Democracy,chapter,Story,,,
1294,1294,"The origins, evolutions, and engines of wealth : government, global leadership, and technology -- 4.",05 Engineering and Business: Engineering,Built,Goal,wealth,,engines,wealth,Wealth,engines,Vehicle,23850,,
220,220,"Poverty Can Hinder a Child's Cognitive Development, Study Says Family instability has no impact, researchers report WEDNESDAY, April 20 (HealthDay News) -- Persistent poverty harms the cognitive development of children, but family instability has no effect, a new study suggests.",01 Health and Safety,Threat,Clothing Type,Persistent poverty,,harms,Persistent poverty,Poverty,harms,Physical Harm,3121088,,
319,319,Strongly Opposes topic 14:The Patriot Act harms civil liberties (-5 points on Social scale),01 Health and Safety,Threatened,Change,civil liberties,,harms,civil liberties,Democracy,harms,Physical Harm,2457892,,
122,122,"According to Banderas, poverty restrains people from achieving many objectives in life.",01 Health and Safety,Threat,Relationship,poverty,,restrains,poverty,Poverty,restrains,Confinement,158512,,
309,309,"But in general people greatly over-do the caution and doubt thing, to the great damage of democracy, my main point in #24 above.",01 Health and Safety,Threatened,Warming,democracy,,damage,democracy,Democracy,damage,Physical Harm,3118430,,
1008,1008,"Apparently, wealth wins over good looks -- Milton appears to have been a not unattractive young man!",03 Conflict,Winner,Legit,wealth,,wins,wealth,Wealth,wins,Competition/Game,3125377,,
866,866,"I'd like to repeat the last paragraph from your post above -- You accurately describe, once again, the pro-gun team's tactics against other posters on HuffPost and any honest discourse.",03 Conflict,Side,Punished,pro-gun,,team,pro-gun,Gun Rights,team,Game,3124557,,
372,372,"But dire consequences are not expected by some legal experts, including Sanford Levinson, a noted constitutional scholar and liberal-leaning professor at the University of Texas who made news when he wrote that he, too, believed the Second Amendment protected individual rights to bear arms.",01 Health and Safety,Threatened,Leader,rights to bear arms,,protected,rights to bear arms,Gun Rights,protected,Protection,3701387,,
1648,1648,Compare that to the U.S. where both jobs and disposable income are declining.,12 High and Low,Movement,Crime,DOWNWARD,,declining,disposable income,Wealth,declining,Downward Movement,2659115,,
928,928,"Religious controversy did not end with Mary's death in 1558; Queen Elizabeth 1 (1558-1603) spent much of her reign warding off the threat from Catholic Europe, and important recusants (people who refused to attend Church of England services) and others who might have opposed her rule were locked tip in the Tower.",03 Conflict,Side,Beneficial Plant,rule,,opposed,rule,Government,opposed,Struggle,621334,,
859,859,Gun control will never be defeated until gun control and it supporters are driven out to sea.,03 Conflict,Side,Destination,Gun control,[side] * be defeated,will never be defeated,Gun control,Control of Guns,defeated,Competition/Struggle/War,2891471,,
878,878,Thomas defended voluntary poverty as good because it frees people from vices related to wealth.,03 Conflict,Side,Parent,poverty,,defended,poverty,Poverty,defended,Protection,118521,,
637,637,(The other gun debate... best choice for home defense!),03 Conflict,Conflict,Weather,the other gun debate,,debate,gun,Guns,debate,Struggle,,,
26,26,"I agree with Litman's implication that poverty is a cure for congestion, but I don't think it is an appropriate one.",01 Health and Safety,Protection,Fire,poverty,,cure,poverty,Poverty,cure,Disease,164623,,
632,632,"What I have a major issue with, and what erased all that good in my mind is the narrow minded way he is attacking gun ownership.",03 Conflict,Conflict,Side,gun ownership,,attacking,gun ownership,Guns,attacking,Struggle,2903030,,
1640,1640,Create gobs and mountains of money immediately when you know exactly how!,12 High and Low,Level,Agent,HIGH,,mountains,money,Wealth,mountains,Hazardous Geographic Feature,122239,,
903,903,» Norton resident uses hobby to fight poverty in Honduras,03 Conflict,Side,Winner,poverty,,fight,poverty,Poverty,fight,Struggle,1632374,,
564,564,I thought they were in jail. what we do know is that there is a paucity of evidence that the anti gun nuts are able to find in the USA that demonstrate that gun bans or restrictions decrease crime. that's why those turds mainly try to apply other countries' statistics to the USA which never have any useful information Come now they are only as mislead as people who think they need to outgun the police.,03 Conflict,Aid,Barrier,gun bans,,decrease,gun bans,Control of Guns,decrease,Downward Movement,2712013,,
83,83,"Over the course of weeks, Emerald editorials went from praising the IFC as a haven of democracy to a waste of student time and money.",01 Health and Safety,Protection,Body of Water,democracy,,haven,democracy,Democracy,haven,Physical Location/Protection/Natural Physical Force,155306,,
1447,1447,"More than ever before, government is destroying private enterprise on the one hand, and offering permanent dependency on the other hand.",06 Morality and Justice,Criminal,Punishment,government,,destroying,government,Government,destroying,Physical Harm,3236186,,
747,747,Has the NRA organised and helped members gain strength in opposing gun control?,03 Conflict,Enemy,Fire,gun control,,opposing,gun control,Control of Guns,opposing,Struggle,2118138,,
555,555,The CDC was producing bogus research to promote and advance gun control with out evidence of pubic safety being increased with public money.,02 Journey,Vehicle,Facilitator,bogus research,,,gun control,Control of Guns,advance,Forward Movement,,,
450,450,"The citizens of NJ let their gun rights fly out the window, thats their problem.",02 Journey,Agent,Clothing Type,gun rights,[agent] fly,fly,gun rights,Gun Rights,fly out,Journey,,,
1131,1131,"If money and advocacy was all it took, then the pro gun control dominance in the press, the millions from the Bloombergs of the world, and the celebrity faces of Hollywood should easily defeat the NRA.",04 Power and Control: Human,Leader,Change Type,pro gun control,[leader] dominance,dominance,gun control,Control of Guns,dominance,Enslavement,2377214,,
409,409,WDR 2000/2001: Attacking Poverty,01 Health and Safety,Threatened,Enemy,poverty,,attacking,Poverty,Poverty,Attacking,Struggle/War,1958399,,
1323,1323,A law license is a money making tool and poverty is the grease.,05 Engineering and Business: Engineering,Facilitator,Body Part,poverty,[facilitator] is the grease,is the grease,poverty,Poverty,grease,Machine,2378280,,
1135,1135,I would argue that these taxes enslave us to the government.,04 Power and Control: Human,Leader,Scientist,taxes,,enslave,taxes,Taxation,enslave,Enslavement,159453,,
634,634,"I'll give you a hint, it was involving a taxation conflict.",03 Conflict,Conflict,Hot,taxation,,conflict,taxation,Taxation,conflict,Struggle,3125338,,
1068,1068,"Of course, whomever was responsible for 911 should be brought to justice, as individuals, for isn't the emphasis on individuality supposed to be a tenet of our democracy religion?",04 Power and Control: God,God,Servant,democracy,,religion,democracy,Democracy,religion,A God,2097693,,
283,283,It is my personal opinion that a corrupt democracy is superior to an efficient dictatorship because of that exact reason.,01 Health and Safety,Threatened,Weather,democracy,,corrupt,democracy,Democracy,corrupt,Crime/Contamination,163628,,
605,605,One can expect these factors to diminish in influence as the democracy becomes more transparent and as elections become more competitive.,03 Conflict,Conflict,Scientist,elections,,competitive,elections,Elections,competitive,Competition,756109,,
93,93,When the crunch comes people who protect guns will not fight because a gun is not worth your life.,01 Health and Safety,Protection,Entity Age,guns,,protect,guns,Guns,protect,Protection,2156099,,
1568,1568,"We can never give one simple inch on anything they demand, for it feeds the beast of gun control and wets its appetite for more.",09 Animals,Wild Animal,Fire,gun control,beast of [wild animal],beast of,gun control,Control of Guns,beast,Animal,2376917,,
96,96,Protecting American Democracy,01 Health and Safety,Protection,Topic,Democracy,,Protecting,Democracy,Democracy,Protecting,Protection,2399743,,
131,131,"The whole point of the story is to illustrate how gun control cripples the law abiding citizen. he wasn't showing off or anything, as 2 guns is NOT a 'whole arsenal'.",01 Health and Safety,Threat,Destruction Potential,gun control,[threat] cripples,cripples,gun control,Control of Guns,cripples,Disease,2377068,,
1573,1573,If and when gun control roars back to life in 2007-08 — we expect that it will — the data unearthed this week in these lawmakers’ own backyards by reporter Matthew Cella should loom large.,09 Animals,Wild Animal,Beneficial Plant,gun control,[wild animal] roars,roars,gun control,Control of Guns,roars,Animal,2376908,,
1399,1399,"The death tax kills jobs, said AGC President Terry Deeny.",06 Morality and Justice,Crime,Punished,death tax,,kills,death tax,Taxation,kills,Crime/Physical Harm,159394,,
1243,1243,"Through programs that help governments to strengthen democratic processes, promote equitable economic growth, and improve health and education standards, USAID is helping countries in the region with the will to reform to move along a trajectory toward MCA eligibility.",05 Engineering and Business: Engineering,Built,Hot,democratic processes,,strengthen,democratic processes,Democracy,strengthen,Building/Strength,2669353,,
580,580,"A: In most places, real estate taxes trump just about anything else.",03 Conflict,Aid,Beneficial Plant,real estate taxes,,trump,real estate taxes,Taxation,trump,Game,3121467,,
1345,1345,Dayton said the proposed drop in the state sales tax rate to 5.5 percent would move Minnesota from 7th highest sales tax to 27th Dayton said the new sales taxes and rate would generate $2 billion in tax revenue.,05 Engineering and Business: Resource,Extractor,Victim,sales taxes,,generate,sales taxes,Taxation,generate,Energy,158495,,
3,3,"In fact there was quite a steady flow of illegal guns and gun use, right up until the Japanese government increased prison sentencing for gang involvement AND for use of an illegal weapon to extremes.",01 Health and Safety,Beneficial,Worshipper,guns,,flow,guns,Guns,flow,Body of Water/Movement,2668576,,
586,586,The Senate is a bulwark against an avalanche of really extreme legislation.,03 Conflict,Aid,Laboratory,Senate,,bulwark,Senate,Government,bulwark,Protection,1971149,,
1253,1253,"However, while some states have successfully strengthened their gun laws and blocked efforts by the gun lobby to weaken existing laws, a number of states continue to drag their feet on gun safety measures, putting children in danger.",05 Engineering and Business: Engineering,Built,Warming,gun laws,,strengthened,gun laws,Control of Guns,strengthened,Building/Strength,2669299,,
1063,1063,For a Republic that seems to idolize Democracy our work places remain almost consistently autocratic.,04 Power and Control: God,God,Threat,Democracy,idolize [god],idolize,Democracy,Democracy,idolize,A God,760277,,
371,371,"President Obama, who created the idea of the sequester, is now against the sequester, saying it will lead to massive layoffs and accusing Republicans of choosing to protect the wealthy over first responders.",01 Health and Safety,Threatened,Level,wealthy,,protect,wealthy,Wealth,protect,Protection,2660722,,
1742,1742,He uses the mask of gun rights to intermingle in support of freaky far-right goon causes.,14 Embodied Experience: Clothing,Clothing Type,Punished,DISGUISE,,mask,gun rights,Gun Rights,mask,Clothing,2377002,,
1061,1061,I don't believe that elections are God.,04 Power and Control: God,God,Destruction Potential,elections,,God,elections,Elections,God,A God,3118462,,
1324,1324,"I may be in a tiny minority, but I believe that Confucianism and democracy are wholly compatible, precisely because democracy greases the machinery, providing a simple means of overthrowing a corrupt leader without risking the stability of society.",05 Engineering and Business: Engineering,Facilitator,Victim,democracy,[facilitator] greases,greases,democracy,Democracy,greases,Machine,1973304,,
234,234,Gun bans kill kids,01 Health and Safety,Threat,Extractor,Gun bans,,kill,Gun bans,Control of Guns,kill,Physical Harm,2621483,,
1512,1512,It's the rape of poverty.,06 Morality and Justice,Victim,Side,poverty,,rape,poverty,Poverty,rape,Crime/Physical Harm,1973412,,
185,185,Democracy destroys freedom.,01 Health and Safety,Threat,Worshipper,Democracy,,destroys,Democracy,Democracy,destroys,Natural Physical Force/Physical Harm,155932,,
622,622,"This is especially true of the race between Beau Biden & Ferris Wharton for Attorney General, which appears to be the closest and most heated race of the election season among the statewide offices.",03 Conflict,Conflict,Scale,election,,season,election,Elections,season,Game,3038298,,
482,482,"Minimum wage limits the employer/employee relationship to protect the weaker party, the employee.",02 Journey,Barrier,Property,Minimum wage,,limits,Minimum wage,Money,limits,Confinement,595921,,
704,704,"And if those in power find a majority of votes is not within that prescription, we will see in those supposed democracies the same thing as we now see in Palestine: Hamas won the vote of the people in a free and fair election, and the USA and Israel have  tried and are just about to kill that democracy because it does not comport to their prescription of ""democracy.""",03 Conflict,Enemy,Hot,democracy,,kill,democracy,Democracy,kill,Crime/Physical Harm,155467,,
851,851,for the first question yes why would my country do anything against me? like even the arabs both muslim and christians(not the palestinians in the west bank and gaza) never protested to own guns or said they dont feel safe here.. and also i read here that people hold guns to go against the country in time of need now you think that a bunch of 30-40 years old men with 1920's-2000's guns can win a tank or an air plane? or an air craft carier?,03 Conflict,Side,Wild Animal,guns,,win,guns,Guns,win,Competition/Game/War,2668570,,
280,280,Poisoned Milk and the Poisoning of Democracy: Some Cautions about China Trade and Taiwan Sovereignty.,01 Health and Safety,Threatened,Wild Animal,Democracy,,Poisoning,Democracy,Democracy,Poisoning,Contamination/Physical Harm,2867776,,
967,967,"The company has fought taxation at the state level, and a measure proposed at ALEC would have allowed companies to operate untaxed in states even if they advertise, hold trade shows or work through subsidiaries.",03 Conflict,Side,Farmer/Gardener,taxation,,fought,taxation,Taxation,fought,Struggle/War,159322,,
34,34,"Democracy may cure the symptoms, but it will not cure what really ails the muslim world.",01 Health and Safety,Protection,Hot,Democracy,,cure,Democracy,Democracy,cure,Disease/Medicine,155913,,
1398,1398,The Death Tax is killing American family business,06 Morality and Justice,Crime,Right,Death Tax,,killing,Death Tax,Taxation,killing,Crime/Physical Harm,2659641,,
573,573,"The teachers union not only plays the poverty card, but by battling reforms, ensures that the impoverished will remain that way ""No Education Reform Without Tackling Poverty, Experts Say,"" is the title of an article on the National Education Association website.",03 Conflict,Aid,Torch,poverty,,card,poverty,Poverty,card,Game,2378206,,
952,952,They are not organised to fight gun control or protect their rights.,03 Conflict,Side,Resource,gun control,,fight,gun control,Control of Guns,fight,Struggle/War,2669990,,
165,165,These cry baby gun control advocates are always crying wolf and every gun gets nastier and more evil to them.,01 Health and Safety,Threat,Worshipper,gun,,evil,gun,Guns,evil,Monster,3791670,,
727,727,"Courtney has also worked on The Empty Bowl Project - which provides monetary support for food banks, soup kitchens, and other organizations that fight hunger.",03 Conflict,Enemy,Change Type,hunger,,fight,hunger,Poverty,fight,Struggle,120272,,
106,106,"In the past month or two, I've noticed a new addiction arise, one that's more powerful and widespread than ever, election addiction.",01 Health and Safety,Threat,Weather Type,election,,addiction,election,Elections,addiction,Addiction,1805670,,
1580,1580,"Optimists hailed a region-wide birth of democracy, as though the Middle East and North Africa were following the path blazed in Eastern Europe during the anti-communist revolutions of 1989.",10 Human Life Cycle and Family Relations,Entity,Torch,democracy,birth of [entity],birth of,democracy,Democracy,birth,Life Stage,2507152,,
365,365,Includes locking glass lid to protect your firearm from dust and unauthorized handling.,01 Health and Safety,Threatened,Worshipper,firearm,,protect,firearm,Guns,protect,Protection,2897611,,
1629,1629,"Many Americans are falling deeper into depths of poverty The economy may be expanding, but the percentage of Americans earning less than half the U.S. Census threshold for poverty is at a 32-year high, and even those just above the threshold are in danger of slipping.",12 High and Low,Destination,Right,poverty,,falling,poverty,Poverty,depths,Low Location,159544,,
481,481,"Know the reality, that wealth hinders entrance into the kingdom of God and living the Christian life and, thus, not many wealthy are saved.",02 Journey,Barrier,Victim,wealth,,hinders,wealth,Wealth,hinders,Confinement,158622,,
733,733,"If the government does not fight poverty, poverty will be the victor at the next elections.",03 Conflict,Enemy,Aid,poverty,,fight,poverty,Poverty,fight,Struggle,2666967,,
72,72,It is a fallacy to assume that taxation alleviates the problems of the middle class.,01 Health and Safety,Protection,Extractor,taxation,,alleviates,taxation,Taxation,alleviates,Medicine/Physical Burden,159532,,
335,335,Commonwealth Private Bank can help you build and protect your personal wealth.,01 Health and Safety,Threatened,Fire,personal wealth,,protect,personal wealth,Wealth,protect,Physical Harm/Protection,2080258,,
45,45,The view that democracy alleviates social disparities and income inequalities stems from the argument that political enfranchisement in the form of suffrage empowers those who are on the margins of society (Lipset 1959; Lenski 1966; Muller 1995).,01 Health and Safety,Protection,God,democracy,,alleviates,democracy,Democracy,alleviates,Disease/Medicine/Physical Burden,155626,,
1046,1046,I first bumped-into the internet gun cult in 1994 on USENET in talk.politics.guns.,04 Power and Control: God,God,Engineer,gun,[god] cult,cult,gun,Guns,cult,A God,2120442,,
742,742,Fighting poverty index,03 Conflict,Enemy,Posture,poverty index,,Fighting,poverty,Poverty,Fighting,Struggle,2666432,,
1048,1048,"Such is the downright satanic power of the gun cult in this country, however, that Martinez may as well never have spoken.",04 Power and Control: God,God,Change,gun,,cult,gun,Guns,cult,A God,3123867,,
1734,1734,"First, it wraps the opposition in the mantle of popular democracy.",14 Embodied Experience: Clothing,Clothing,Threatened,popular democracy,mantle of [clothing],mantle of,democracy,Democracy,mantle,Clothing,2674403,,
1035,1035,"The caption, ""Democracy Wins,"" became a popular meme amid the liberal euphoria that broke out on election night.",03 Conflict,Winner,Level,Democracy,,Wins,Democracy,Democracy,Wins,Game,761004,,
1441,1441,Bureaucracy destroys community; who knew?,06 Morality and Justice,Criminal,Weather Type,Bureaucracy,,destroys,Bureaucracy,Bureaucracy,destroys,Natural Physical Force/Physical Harm,152754,,
659,659,"As I remember, despite the American Rifleman having a monthly feature ""A Court Case of Consequence,"" to my memory during the '60s the NRA provided relatively little, and mostly mild, commentary on the developing gun control battle.",03 Conflict,Conflict,Beneficial Plant,gun control,,battle,gun control,Control of Guns,battle,Struggle/War,2395746,,
924,924,Yet they oppose gun ownership.,03 Conflict,Side,Rain,gun ownership,,oppose,gun ownership,Guns,oppose,Struggle,2723672,,
642,642,Your generous contributions go directly to the front lines of the gun rights fight.,03 Conflict,Conflict,Topic,gun rights,,fight,gun rights,Gun Rights,fight,Struggle,2423917,,
490,490,"In other words: if we fall asleep at the wheel, it will guarantee that the vehicle of democracy will crash into a catastrophic brick wall.",02 Journey,Barrier,Entity Age,democracy,,vehicle,democracy,Democracy,vehicle,Machine/Vehicle,762198,,
672,672,"But let's be realistic...what is going to happen in the ""gun control battle"" is that the left will push for more, the right will stall pretty much everything and push for less.",03 Conflict,Conflict,Worshipper,gun control,,battle,gun control,Control of Guns,battle,War,2173909,,
1687,1687,To now attach the law to the running of the government and use it as a bargaining chip would set a dangerous precedent that takes us out of the realm of democracy and into the realm of anarchy.,12 High and Low,Scale,Light Level,democracy,,realm,democracy,Democracy,realm,Physical Location,156060,,
1228,1228,"But in the meantime our ""house of gun rights"" is on fire and at some point will burn down.",05 Engineering and Business: Engineering,Built,Aid,gun rights,house of [built],house of,gun rights,Gun Rights,house,Building,2376986,,
929,929,So are you arguing that the founders opposed private gun ownership?,03 Conflict,Side,Beneficial Plant,gun ownership,,opposed,gun ownership,Guns,opposed,Struggle,2731631,,
1707,1707,"That is, until some racist nimrod spits into the great pool of democracy and spoils our good time.",13 Nature: Body of Water,Size,Child,SMALL,,pool,democracy,Democracy,pool,Body of Water,155963,,
1735,1735,"Using such decidedly “business-model” jargon, we feel, detracts from our noble and altruistic mission to educate, empower and develop informed citizens who will carry the mantle of American democracy for future generations.",14 Embodied Experience: Clothing,Clothing,Cold,American democracy,mantle of [clothing],mantle of,democracy,Democracy,mantle,Clothing,3021862,,
178,178,"Many are up in arms about taxes, claiming that taxes are destroying their ability to thrive.",01 Health and Safety,Threat,Leader,taxes,,destroying,taxes,Taxation,destroying,Natural Physical Force,2009710,,
904,904,"Latin American countries need to fight poverty more aggressively if they want to grow more and compete with China and other dynamic Asian economies, says a new World Bank report.",03 Conflict,Side,Torch,poverty,,fight,poverty,Poverty,fight,Struggle,2664423,,
1712,1712,Democracy is a bonfire; the American people kindle the flame.,13 Nature: Fire,Fire,Vehicle,democracy,[fire] is a bonfire,is a bonfire,Democracy,Democracy,bonfire,Fire,163983,,
1384,1384,"Hey gringa, show us PROOF, with statistics that poverty is increasing in Mexico.",05 Engineering and Business: Resource,Resource,Domesticated Animal,poverty,,increasing,poverty,Poverty,increasing,Upward Movement,433901,,
525,525,Capitalism was also a major factor in the general advancement of bureaucracy.,02 Journey,Change,Threat,bureaucracy,,advancement,bureaucracy,Bureaucracy,advancement,Forward Movement,3119603,,
58,58,"After all, gun control cures cancer and makes every day sunny.",01 Health and Safety,Protection,Cold,gun control,,cures,gun control,Control of Guns,cures,Medicine,3123497,,
364,364,"No, I want to protect gun rights to save individual lives.",01 Health and Safety,Threatened,Barrier,gun rights,,protect,gun rights,Gun Rights,protect,Protection,2907888,,
601,601,In a world where poverty competes with corruption for tax-payer and gambler (lotto's) money there are innocent victims caught in the cross-fire.,03 Conflict,Conflict,Leader,poverty,,competes,poverty,Poverty,competes,Competition,3124764,,
551,551,EPA just needs to set a minimum tax trajectory that any state could adopt.,02 Journey,Goal,Body,tax,,trajectory,tax,Taxation,trajectory,Movement,2378343,,
529,529,"This political base seemed modest but offered a venue for possible advancement of a carbon tax, especially given the likely role of Ways and Means in approving any comprehensive climate bill given its considerable influence on legislation with fiscal ramifications.",02 Journey,Change,Enemy/Side,carbon tax,,advancement,carbon tax,Taxation,advancement,Forward Movement,3125298,,
458,458,Urban and Rural Crime Section 3: Gun Ownership Trends and Demographics,02 Journey,Agent,Wild Animal,Gun Ownership,,Trends,Gun Ownership,Guns,Trends,Movement,2891277,,
1377,1377,This money would increase revenues for fire protection and law enforcement.,05 Engineering and Business: Resource,Resource,Right,money,,increase,money,Wealth,increase,Upward Movement,158545,,
1306,1306,"The members of Gloucester's Independent Church of Christ win their suit, and are granted the right to have their taxes support their own church.",05 Engineering and Business: Engineering,Component,Torch,taxes,,support,taxes,Taxation,support,Building,135326,,
599,599,"And if there is to be no top armament level, can your guns compete with a howitzer?",03 Conflict,Conflict,Clothing Type,guns,,compete,guns,Guns,compete,Competition,2377007,,
1367,1367,Haymarket wrote in part: I can strongly support the right to bear arms while not being an advocate for the gun culture and the spread of guns in our society.,05 Engineering and Business: Resource,Resource,Entity Age,guns,,spread,guns,Guns,spread,Disease/Movement,2914254,,
1218,1218,Investments only deepen your wealth.,05 Engineering and Business: Engineering,Built,Facilitator,wealth,,deepen,wealth,Wealth,deepen,Abyss,159115,,
709,709,Troy and I are asking if you will help us tackle poverty this Lent by joining the Fellowship of Orthodox Christians United to Serve (FOCUS) North America.,03 Conflict,Enemy,Torch,poverty,,tackle,poverty,Poverty,tackle,Game,2378205,,
1197,1197,Trying to sell gun rights to wingnuts is like trying to convince Bin Laden to become a Buddhist and contemplate temple bells with the Dalai Lama.,05 Engineering and Business: Business,Product,Threatened,gun rights,,sell,gun rights,Gun Rights,sell,Business,2376991,,
1250,1250,Arizona House passes 2 pro-gun bills Republicans in the Arizona House of Representatives who say the 2nd Amendment is under attack have approved two bills that aim to strengthen gun rights in the state.,05 Engineering and Business: Engineering,Built,Crime,gun rights,,strengthen,gun rights,Gun Rights,strengthen,Building/Strength,3123827,,
990,990,"The Blogmanac is dedicated to the 353 victims of Australia's shame, the SIEVX disaster, and casualties of poverty and authority worldwide.",03 Conflict,Winner,Extractor,poverty,,casualties,poverty,Poverty,casualties,Accident/Physical Harm,126902,,
784,784,RE: Logical fallacy of the Left: You can't stop gun violence by attacking guns Posted by: drobinson2,03 Conflict,Enemy,Flowing,guns,,attacking,guns,Guns,attacking,War,2461061,,
1636,1636,This rate is an individual's tax floor.,12 High and Low,Level,Change,LOW,,floor,tax,Taxation,floor,Building,1973748,,
1553,1553,Eventually the Democrats hope you'll get used to the smell as the caps and taxes blossom in size and scope.,08 Plants,Beneficial Plant,Clothing,taxes,[beneficial plant] blossom,blossom,taxes,Taxation,blossom,Plant,158817,,
1402,1402,"Does being told from birth, we the people are government, we are the greatest country in the world, democracy is so great, all while the same democracy robs US blind & kills thousands of people with US $, military, in our name while claiming we're liberating them, make sense?",06 Morality and Justice,Crime,Enemy,democracy,,robs,democracy,Democracy,robs,Crime/Theft,1966627,,
1251,1251,"Then, there will be more investors coming to Cambodia, and we see that Cambodia is starting to strengthen taxation, so all companies need to evaluate themselves so that it is easy to audit.",05 Engineering and Business: Engineering,Built,Punishment,taxation,,strengthen,taxation,Taxation,strengthen,Building/Strength,3121820,,
633,633,"As mentioned earlier, we can see selling of illegal drugs as an answer to the conflict of poverty for young black men.",03 Conflict,Conflict,Loser,poverty,,conflict,poverty,Poverty,conflict,Struggle,2378505,,
75,75,"Heck, you might even get some gun control relief down the line...",01 Health and Safety,Protection,Body Part,gun control,,relief,gun control,Control of Guns,relief,Physical Burden,2378652,,
100,100,"When you go to the other first-world democracies, you find out that they are quite free...and you find out that no, firearms don't secure a person's freedom.",01 Health and Safety,Protection,Engineer,firearms,,secure,firearms,Guns,secure,Protection,2671489,,
1213,1213,"But Olson's triumph left many in the legal community reeling, as they accused her in published reports of buying the election and targeting",05 Engineering and Business: Business,Product,Level,election,,buying,election,Elections,buying,Resource,1952544,,
1352,1352,"Since taxation generates market distortions by affecting the demand for and supply of goods, an ideal tax will be one whose effect on consumers and producers is small.",05 Engineering and Business: Resource,Extractor,Business,taxation,,generates,taxation,Taxation,generates,Energy/Machine,159661,,
626,626,"This information, especially in election season, offers an opportunity to de-stablize the New World Order Ruling Elite and restore honest elections with citizens checks and balances, true Freedom under God, and true Free Enterprise in America.",03 Conflict,Conflict,Component,election,,season,election,Elections,season,Game/Science,1694357,,
