Sentence,Source CM
"In 1962 â€“ prior to Lyndon Johnson's War on Poverty â€“ The ""Gray Areas Project"" was the first attempt to combat poverty across America.",War
"Where the corporation tax is a direct frontal attack on the institution of private property, the ESOP offers a powerful means for counterattacking in a manner that will simultaneously serve other desirable social goals: it can help overcome shortages in private sector capital formation; it fosters more equity financing; it can help foster more private sector jobs in the fabricating and operations of newly added plant and equipment; it can help expand the federal revenue base from expanded private payrolls and dividend rolls; and it can help create a broader base of shareholder constituents to help corporations surmount unreasonable and unwarranted political attacks.",Struggle/War
"All were asking of our Government is to match our level of concern and make sure our taxes are supporting the clean energy solutions, not the problem.",Building
"A failed 1981 coup d'etat in Spain strengthened the country's young democracy, lawmakers say as they commemorate the event's 25th anniversary, while the coup leader slams moves to confer greater",Building/Strength
"Since we make most of this site available without charge to you, we rely heavily on advertisers to produce the income necessary to operate our site.",Factory/Resource
3. a terroristic method of governing or of resisting a government.,Struggle
Understanding each type of plenary power and their affect on tribes will better explain how U.S. democracy oppresses Indians rather than protect them.,Enslavement/Crime
Gun control snuffs out another innocent victim.,Darkness
"There were five votes in the JCS, and a single vote could kill a project.",Physical Harm
CNN exit polls indicated that the economy was rated first (52% of voters) as the most important issue facing the country; gun control scored zero.,Competition/Game
"; to spend your time on the range or in the field, rather than fighting ""gun control""?",Struggle
"Wealth alleviates child labor, as the fact it has disappeared in rich countries (that is, capitalist countries) demonstrates.",Disease
It's more important for everyone to stick to your moronic leftwing script where government heals all our boo-boos and all the capitalist villains are sent scurrying.,Medicine
Taxation steals wealth from productive citizens in order to benefit the preferred programs and constituencies of the governing class.,Theft
Not sure if that qualifies as a gun myth but its certainly mythical (see what I did there?),A God
"When someone threatens to sue over a christmas display, no matter what they want as a result, a prudent bureaucracy retreats to avoid spending money on attorneys rather than mission.",Backward Movement
"The arrest of Lima mayor Luis Bedoya, also taped apparently receiving cash, could taint the candidacy of Lourdes Flores of the National Unity ticket.",Contamination
This does not permit an escape of taxation because the reserve is not an asset but a debt.,Confinement
It may have not but in the case up here in Seattle everyone knew the gunman was a crzy nut including His family.I say that if the mental health sysyem would have acted and at least made it impossible for Him to buy guns the shooting may not have happened.If we stop just one mass killing it would be worth it it change the law and you cowboys could still but your sacred guns unless you where crazy.,A God
"Institute Notes > What do we mean by ""poverty alleviation?""",Medicine
Leaders from some of the nation&apos;s largest Christian congregations are urging President Obama and members of Congress to find a way to agree on new revenue and spending cuts that will reduce the deficit while protecting the poorest Americans.,Protection
"That firearm organisations were and still are ineffective, useless and have no idea of how to combat gun control.",War
It works with governments to develop and finance programmes and projects that enable poor rural people to improve their livelihoods sustainably and overcome poverty themselves.,Struggle
"We attack democracy as such, we don't want ""real democracy"" instead of ""fake democracy.""",War
EPA just needs to set a minimum tax trajectory that any state could adopt.,Movement
Gun control is selling perceived safety by scare tactics and making people afraid.,Business
The indiosyncracy of the Govt. made it sure that the revolution did not spread to the masses and companies continue to invest in the hope that the dark clouds of regulation would give way to bright sunshine some day.,Darkness
The re-election of President Chavez would facilitate the democratization of the economy through nationalization and socialization.,Servant
"And yet, with all of the strangeness of the story, those damned guns steal the spotlight.",Theft
Eventually the Democrats hope you'll get used to the smell as the caps and taxes blossom in size and scope.,Plant
"The battle for democracy demands a high price of its champions, but their number continues to proliferate.",Struggle/War
"Many are up in arms about taxes, claiming that taxes are destroying their ability to thrive.",Natural Physical Force
"And yet, with all of the strangeness of the story, those damned guns steal the spotlight.",Theft
"Every since then we've had this endless, mindless debate about guns, gun history, the evil NRA, assault weapon use on elementary school children once or twice per century, and many other inane premises used to try and kill gun ownership.",Crime/Physical Harm
The 2ND AMENDMENT relief should never be sought: it is an avenue when all law and other means of recourse fails us.,Medicine
"There's no doubt that Iraq's Green Zone government, under heavy pressure from its own people and neighbours such as Iran, extracted significant concessions from US negotiators to the blanket occupation licence in the original text.",Forceful Extraction
Democracy is a bonfire; the American people kindle the flame.,Fire
Poverty wins every game.,Game
His speech marked just the start of the gun control war.,War
WDR 2000/2001: Attacking Poverty,Struggle/War
And maybe Thiel's libertarian utopia could become a reality as democracy is buried once and for all.,Life Stage
"the anti gun scum bags try to incrementally destroy gun rights-hoping that when its time to finally ban guns, there won't be real resistance.",Physical Harm
"In short, the whole thing turned into a vast money hole into which the Pentagon poured billions.",Abyss
The opposition attempts to obscure the blame by hiding behind the faceless shield of bureaucracy.,Protection
b. Exchange successful experiences and methodologies with a view to strengthen democratic processes in the region.,Building/Strength
Your firearms helped define your life.,Servant
Yet they oppose gun ownership.,Struggle
"When horrible killings take place, gun control rockets up on the public agenda, Spitzer said.",Upward Movement
"For through the wine of the wrath of her evil desires all the nations have come to destruction; and the kings of the earth made themselves unclean with her, and the traders of the earth had their wealth increased by the power of her evil ways.",Upward Movement
"Then, there will be more investors coming to Cambodia, and we see that Cambodia is starting to strengthen taxation, so all companies need to evaluate themselves so that it is easy to audit.",Building/Strength
Haymarket wrote in part: I can strongly support the right to bear arms while not being an advocate for the gun culture and the spread of guns in our society.,Disease/Movement
"In my last column I warned, and I say again, the NRA is not the intrinsic guardian of the 2nd amendment, or more apparently, of constitutional rights.",Protection
"If the government does not fight poverty, poverty will be the victor at the next elections.",Struggle
Representative democracy is brought to its knees.,Human Body/Physical Harm
"The Legislature produces good guys and bad guys, idealists and cynics, political sophisticates and political naÑ—fs, but it seldom produces heroes.",Crop/Factory
"And how can a few guns compete against tanks, artillery, air strikes, guided missiles etc.. ? You sound like a far right-wing nut job arguing this line.",Competition
"Sorry, but those who have benefitted most from corrupt taxation now need to give back.",Contamination/Crime
He would tell me who overcame abject poverty to rise to the top of his sport and who was suspected of doping.,Struggle
There is a tendency to think that wealth is a cure for one's barbaric and primitive tendencies when it merely just mask it from the outside world.,Disease
"Anytime there is a ""massacre"" as defined by the FBI of a killing of 4 or more people the press does a full out assault of guns and gun owners.",War
What protecting and glorifying guns does is degrade and diminish the importance of the right.,A God
A sound tax policies based upon fairness rather than the exploitation of taxation to reward cronies would do much to restore the dollar in foreign markets.,Resource
Yeah right you go on protecting the guns and lets see what that gets us.,Protection
Johnson said that sales taxes are decreasing and people are being more conservative with spending.,Downward Movement
"Dr McCartney who is a lecturer in human nutrition stated that CSO figures showed the poverty hole had widened substantially inside the last few several years, and it was highly probably that diets had also worsened because of this.",Abyss
"In an uncertain environment such as Obama has brought us, the additional taxes can be very inhibiting - particularly for those businesses that would otherwise be expanding and hiring.",Confinement
"BHUTTO: I know that that's an argument that some of the supporters of the military regime say, that elections in Pakistan could give up a Hamas-type solution, but that's not what the polls show, that's not what the elections have shown.",Struggle
"In some state the law is the property owner trumps the gun owner, in others the gun owner trumps the property owner.",Game
The government slowly eroding gun rights is the same as a landlord taking away tenant space.,Physical Harm
"Regarding the post-hoc efforts of various courts to conclude that Congress-- while remaining utterly silent on the subject--had somehow determined that machine guns burden interstate commerce, Stephen Halbrook writes in the Firearms Law Deskbook (the only national practice manual on firearms law):",Physical Burden
"#Republicans hate Americans so much they dismiss 1st graders as casualties of gun rights, but go to any length to protect fetuses.",Physical Harm
This country could use alot more of that for sure but it is clear to me the GOP has taken wealth worship to a new level and it is not a balenced aproach.,A God
"The perfect storm of homelessness and poor health in South Los Angeles requires a powerful human right to health approach that can engender the broad-based support and political will necessary to implement long overdue, desperately needed solutions.",Natural Physical Force
"Taxes don't reduce deficits, taxes and spending dance around zero to produce a revenue or a deficit.",Downward Movement
How would such requirements violate your sacred 2nd Amendment?,A God
"Any tragedy by a crazy using a gun becomes a poster child against the evil inanimate object ""guns"" and is a money maker for anti-gun candidates.",Monster
"They've been able to hold off new gun control in New York thanks to a Republican controlled senate, but after 2008, there's a real danger of the state sinking into the gun control abyss if the Democrats regain control.",Abyss
"To those who claim that the Congress has no power to pass a bill requiring all States and territories of the United States to enforce the second amendment by requiring them to honor concealed carry permits issued in all other states, the fourteenth amendment was intended to give the Congress exactly such power.",Rule Enforcer
"Some democratic processes do exist in our republic, though changes over the last couple centuries have increased how much democracy infests our system (i.e. 17th Amendment).",Parasite
"That led to Kaine proposals on property tax relief, on spending more money on education, and to respond to their complaints about growth and traffic.",Disease/Physical Burden
The fact that the gun is a reverenced god can be seen in its manifold and apparently resistless powers.,A God
"Meanwhile, the Qatar bid has been widely labeled a victory for wealth and influence over commonsense.",Competition/War
"Infrastructure, homelessness hamper recovery",Barrier
The last thing we can afford is four more years where no one in Washington is watching anyone on Wall Street because politicians and lobbyists killed common-sense regulations.,Crime
The industry had played the gun-nut rubes for fools.,Game
"They are individuals and families whose taxes support the Government and whose voluntary gifts support church, charity, culture, art, and education.",Building
The Japanese don't share our fanatical devotion and worship of gun ownership.,A God
"Every time someone protects taxation they protect violence, because taxation will never be voluntary.",Protection
This is the historical context of Obama's election victory.,Competition/Game/War
And that is probably why gun control will win and has been slowly but surely.,Competition/Game
This sort of system of double revenue sources mimics the much hated system of double corporate taxation in a perverse way.,Machine
"We have to stop the mentality of \He who dies with the most guns wins\"".""",Competition/Game
"Karl Rabeder, as reported on AOL News, has decided that wealth compromises the quest for happiness.",Struggle
"New York's pensions are the financial equivalent of the neutron bomb: kill taxpayers right away, but save the bill for future generations,"" Astorino said.",Crime
The gun freaks act like we are trying to take their sacred guns away when I have not heard the president say that.,A God
A disgraced former Newfoundland and Labrador cabinet minister pleaded guilty Friday to charges that included defrauding taxpayers of money paid through his legislative allowance. more »,Theft
"After his ""Murderers Row"" comment, Cohen insisted that Republicans like their guns more than God: ""I think guns trump bibles on that side of the aisle.""",Game
"Everything changed in the 1970s when conservative groups challenged gun control and overturned laws in state legislatures, giving the Second Amendment a new interpretation considered by liberals and conservatives alike to be one of the biggest pieces of fraud on the American public.",Competition
"But some pro-gun legislation, including the sweeping ""guns everywhere"" bill that was signed into law earlier this year by Georgia's Republican Gov. Nathan Deal, has advanced in recent months.",Forward Movement
It's a crime people don't care about their rights and prefer to protect their guns or buy more instead.,Protection
"Even so, given our firsthand observations, we strongly believe that the diagnosis of Bolivian democracy as in danger and eroding is preemptive and unfounded.",Disease/Medicine
Gun Owners of America and others that have come on board to replace the NRA in our national gun rights quest are doing a great service for us.,Journey
Their brand of oppression and obstructive politics through intimidation and exclusiveness must be extinguished by a rain of Democracy.,Natural Physical Force
"However, guns destroy the ""natural order"" of things.",Physical Harm
"Most other organisation do the same, Sell guns, glorify guns, promote guns, promote sports, training and membership.",A God
"When a government bureaucracy sells logging rights for a section of old- growth, the struggle begins.",Business
"What I have a major issue with, and what erased all that good in my mind is the narrow minded way he is attacking gun ownership.",Struggle
Having Suffered the war of debt in small business I can tell you that this book has been extremely helpful.,War
"Legal scholar Waldman examines the political forces behind that change, including the growing influence of the National Rifle Association and how gun rights play into the culture wars.",Game
"AP: I think the unchecked power of the corporations over the last 100 years has played a key role in the destruction of democracy in many, many areas.",Natural Physical Force/Physical Harm
"They may have contemplated a system of complete religious and civil democracy, or they may not.",Machine
"In fact, we argue that simply breathing in the brisk wind coming off the water in itself can go a long ways towards strengthening one constitution- not to mention the additional physical and psychological benefits in terms of relaxation and stress relief.",Building/Strength
"When you go to the other first-world democracies, you find out that they are quite free...and you find out that no, firearms don't secure a person's freedom.",Protection
Each one of those laws adds some gun control that can be built on.,Resource
Mountains of Money,Hazardous Geographic Feature
"The reality is that gun control destroys lives, it destroys families, it destroys freedom, and it keeps no one safer.",Natural Physical Force
Bureaucracy destroys community; who knew?,Natural Physical Force/Physical Harm
"Indeed, the President of Indonesia remarked at that time: ""The primary task of development is to uplift the common people from the abyss of poverty and the principal solution for raising the weak from poverty and destitution is through cooperatives.""",Abyss
Today's economic system produces poverty as a matter of course; attacks on unions and an already limited welfare state further exacerbate the situation.,Factory
"In a four-trillion-dollar annual budget, a few million dollars here and there to lubricate the gears of Congress seems like a very small price to pay if it would create a more productive legislative body.",Machine
"The death tax kills jobs, said AGC President Terry Deeny.",Crime/Physical Harm
Elbadawi and Sambanis (2000) have showed how democracy alleviates civil war.,Medicine
The CDC was producing bogus research to promote and advance gun control with out evidence of pubic safety being increased with public money.,Forward Movement
"According to the free market ideology, the best way to fight global hunger and improve the economic situation of farmers in developing countries is through trade and investment liberalization, production for export, and cuts in domestic support.",Struggle/War
To now attach the law to the running of the government and use it as a bargaining chip would set a dangerous precedent that takes us out of the realm of democracy and into the realm of anarchy.,Physical Location
Its a tough position to be in -supporting the most anti gun asshole to ever be in the oval office and saying with a straight face that Obama isn't trying to destroy gun rights in the USA,Building
"Many Americans are falling deeper into depths of poverty The economy may be expanding, but the percentage of Americans earning less than half the U.S. Census threshold for poverty is at a 32-year high, and even those just above the threshold are in danger of slipping.",Low Location
"Modern Liberalism's many accomplishments, like the war on poverty that ended with the unconditional surrender of poverty, are just intimidating.",Struggle
"If you disagree with a gun ban, then don't come here and defend a gun ban.",Protection/Struggle
In the process they burn their fingers and even fall deeper down the abyss of poverty.,Abyss
Our democracy provides access to the courts.,Business/Servant
"Meantime, a survivor of the Virginia Tech mass-shooting and a relative of a student killed in the 2007 tragedy circulated an e-mail urging Democrats to oppose Deeds because he resists gun control.",Struggle
Compare that to the U.S. where both jobs and disposable income are declining.,Downward Movement
She was no innocent suddenly caught up in a national scandal; she is precisely one of those petty bureacrats who expertly wields the bludgeon of government to serve her interests.,War
"This is how Bush got elected, or appointed.. Stealing votes was all part of the plan.",Crime/Theft
"Simple solutions like providing high-yield seeds, fertilizers, medicines, drinking wells, and materials to build school rooms and clinics are effectively combating extreme poverty and nourishing communities into a new age of health and opportunity.",War
"By harnessing input and expertise from a wide array of voices, we can continue to strengthen government.",Building/Strength
And While gun control may have lost out on federal law have you counted the number of state laws passed and bill still in progress.,Competition
"Simple solutions like providing high-yield seeds, fertilizers, medicines, drinking wells, and materials to build school rooms and clinics are effectively combating extreme poverty and nourishing communities into a new age of health and opportunity.",War
"Like many beautiful ideas, however, democracy travels through our minds shadowed by its doubles – bad ideas that are close enough to easily mistaken for the real thing.",Journey
"$225,000 would certainly be a mountain of money to us!",Hazardous Geographic Feature
The August 1993 Arusha Peace Accords between the RPF and the government stipulated a continuation of the system of coalition government.,Machine
The authors challenge the U.S. government to lead the tax competition battle in the international marketplace.,War
"Heavily affected American cars include Cadillac, with penalty of 21.8 percent, and Jeep Cherokee at 18 percent, on top of other duties (snip) The automobile industry in China is still heavily protected behind a ""tariff wall"" even though this wall has come down significantly since China's entry into the WTO.",Building
"Well I guess if all the ruined lives from the 50% divorce rate doesn't trump gays right to marry, then the deaths of some people I've never known in a place I've never been shouldn't trump my gun rights either.",Game
"We can never give one simple inch on anything they demand, for it feeds the beast of gun control and wets its appetite for more.",Animal
"This political base seemed modest but offered a venue for possible advancement of a carbon tax, especially given the likely role of Ways and Means in approving any comprehensive climate bill given its considerable influence on legislation with fiscal ramifications.",Forward Movement
"And together, one vote at a time, a mighty river, a swelling ocean we call democracy floods across this nation as 120 million votes are cast for President.",Body of Water/Natural Physical Force
"Poverty trumps genius,"" Gladwell said.",Game
"In overcoming the greater opponent of poverty, the Putnam City West Patriots are now able to better focus on their less fearsome opponent on Friday nights.",Competition/Game
Gun-control hinders the ability of individuals to defend themselves and makes criminals out of people who aren't criminals.,Confinement
Not a gun crisis...lol.,Struggle
"A new Constitution which reinforces popular sovereignty and participation, land laws for land reforms and the distribution of land to the landless, social missions to abolish illiteracy, provide health care, education and housing to the poor and steps to break the oligarchic power of the big business and landed elite have all attracted worldwide attention.",Building/Strength
"Sure, those protectionist tariffs hurt us.",Physical Harm
"That brain freeze moment was widely regarded as the death of Perry's campaign for the presidency, yet his ad people are turning it around and trying to paint it as a positive.",Life Stage
"The purpose of the humanitarian reconstruction and security assistance pledged last summer and the additional funds pledged at last month's Lebanon Donors' Conference in Paris, the press release notes, is ""to help all the Lebanese people rebuild their lives and country, while strengthening Lebanon's sovereign, democratic government and helping to ensure lasting peace.""",Building/Strength
"Remember: He did not have to steal the entire election, just a little piece of it in Florida.",Theft
"But he is in a dogfight in a potential general election battle against Democrat Alison Lundergran Grimes, the Bluegrass state's secretary of state.",War
"Meanwhile the pot is calling the kettle black, as Rumsfeld resurfaces, democracy perpetrators scan the world for more oil resources in nations that could use a little liberty, and a new ad campaign has been launched to get send shivers up your ... I can't bring myself to be crass.",Crime
The view that democracy alleviates social disparities and income inequalities stems from the argument that political enfranchisement in the form of suffrage empowers those who are on the margins of society (Lipset 1959; Lenski 1966; Muller 1995).,Disease/Medicine/Physical Burden
Poverty is a crime for which both Labor and Liberal parties in government are responsible.,Crime
The political framework that created the most recent dark days of gun control: how do we keep guns out of the hands of criminals?,Darkness
"Gun rights activist David Kopel has claimed that there is evidence that this gun law has reduced the incident rate of home burglaries citing that in the first year, home burglaries dropped from 65 before the ordinance, down to 26 in 1983, and to 11 in 1984.",Downward Movement/Physical Burden
» You elected nothing since you stole the 2000 and 2004 elections... Posted by: chief of okeefe,Theft
"President Obama, a well-known opponent of guns, told The Daily Skid, ""I am just about sick and tired of people walking around shooting at people willy-nilly.",Struggle
"The 17 grain bullet is touted as the varmint bullet, and the less destructive, deeper penetrating 20 grain bullet is recommended for small game hunting.",Physical Harm
My point was that most gun-haters are ignorant to the point that they would oppose an imaginary gun.,Competition/Struggle
"Its mission is to enhance the understanding of Islam, encourage dialogue, protect civil liberties, empower American Muslims and build coalitions that promote justice and mutual understanding.",Protection
Poverty greases the engine of capitalism.,Machine
"I don't think anyone these days seriously suggests that the wealthy are inherently evil just like no one believes Blacks are inherently shiftless, lazy, lying, cheating, ignorant, sex crazed and drug addled.",Monster
"He believes strongly in equity, compassion and empowerment, and that the backbone of democracy is people working together",Human Body
I won't glorify guns beyond that.,A God
"The purpose of this article is to demonstrate, in some selected examples, how effective tax planning can accelerate the building of wealth for retirement and how ineffective tax planning can hold back even an astute investor.",Building
If democrats don't want to be targeted they shouldn't vote for gun control.,Crime
"To regulate internal Jewish affairs and ensure the steady flow of taxes, the Parthian, or Arsacid, rulers (247 bceâ€“224 ce) had appointed in approximately 100 ce an exilarch, or ""head of the [Jews in] exile""--who claimed more direct Davidic descent than the Palestinian patriarch--to rule over the Jews as a quasi-prince.",Body of Water/Movement
In a world where poverty competes with corruption for tax-payer and gambler (lotto's) money there are innocent victims caught in the cross-fire.,Competition
Can PowerPoint influence the ideas that shape our government?,Shape
"And baby, the purveyors of that distraction and division will have the blood of a butchered democracy on their greedy hands.",Animal/Physical Harm
"Hopefully, the American people will rise up against this murdering global corporate Empire that has stolen our government, stolen the lives of our children, and stolen the light of democracy from our country.",Theft
"Shotgun News columnist Jeff Knox wrote, ""The gun rights community should make every effort to see to it that Holder's nomination is withdrawn or rejected.""",Family
Let us hope that our stunning technological powers are someday matched by the wisdom to stop destroying the unimaginable medicinal riches that undoubtedly still lie undiscovered in obscure little plants growing in the forests and grasslands and deserts and marshes of the earth.,Physical Harm
"What gun control will not give up easily is its foot soldiers, its public influence.",Emotion Experiencer
"Representative democracy was in fact born of many and different power conflicts, many of them bitterly fought in opposition to ruling groups, whether they were church hierarchies, landowners or imperial monarchies, often in the name of 'the people'.",Life Stage
"God!"" What's ""hard"" is not the wealth itself but the decision whether or not to surrender wealth in favor of poverty, the kind of poverty necessary to travel along behind Jesus on his journey to the cross in Jerusalem. What ""wealth""",Struggle/War
"Thanks to the Corporate Cronies on the Supreme Court deciding in “Citizens United v FEC” that it is fine for Big Money to secretly spend fortunes on election ads, democracy sinks lower into its grave.",Abyss/Downward Movement
Taxes Advanced,Forward Movement
"A: In most places, real estate taxes trump just about anything else.",Game
TC thinks EP voters can be duped into believing that she is shining her holy light into the abyss of government in this 'burg because she is their knight in shining armor.,Abyss
The Senate is a bulwark against an avalanche of really extreme legislation.,Protection
"Well I disagree that the more important right must mean that its abuse is also more important, again I call attention to the scale of the problem that abuse of gun rights is far higher than abuse of voting rights.",Crime/Physical Harm
"Geezus, I don't have a gun control bone in my body but this is way over the top",Human Body
"Human rights are thus violated in order to be defended, democracy is destroyed to safeguard democracy, life is eliminated to preserve life.",Natural Physical Force/Physical Harm
I beg your pardon but if there was any organisation effectively fighting gun control I would know about it.,Struggle/War
"Cyclists carried banners with slogans like ""Money Kills"" as they cycled slowly into the city center, bringing traffic around the imposing Bank of England to a standstill.",Physical Harm
"He had vowed to fight her poverty, brought about by the greed of bureaucracy, and he was so sure he would succeed, there was a swagger in his step.",Struggle
"Instead, the government and media invested their resources in producing and circulating anti-blockade propaganda throughout the New Year season, proclaiming that the blockades were anti-patriotic, punished the poorest, and threatened ""democracy.""",Physical Harm
"Druckenmiller added: ""The 50 percent law punishes democracy.""",Crime
"These taxes punish socially beneficial behavior; everyone agrees that society should have more income, hobs and investment.",Crime
"Thirdly, Hyden's proposal to limit direct government-to-government aid to infrastructure while requiring central governments to compete with local governments and grassroots organizations for development aid will, whether he intends it or not, have the effect of cutting, perhaps by as much as half, the already inadequate aid that African states now receive relative to their needs.",Competition/Game
(The other gun debate... best choice for home defense!),Struggle
This has gone through the heart of the bureaucracy and emerged as policy.,Human Body
An invasion of wealth may not suit their interests.,War
"Gun control hurts only law abiding Citizens. tks, chuck",Physical Harm
Stock prices jumped higher within minutes of word flashing around the world that Geithner was expected to get the job--a key one in any administration but especially sensitive given the crisis that is hurting everyone from pensioners to Wall Street titans as their wealth melts away.,Body of Water
"Wealth burdens a man, because of hereditary wealth you force people to submit to you and society should even out disparity among the classes.",Physical Burden
I now drink from the goblet of riches…and the ambrosia of wealth tastes good.,Food
"The HHS ""conscience"" rule is ""a huge bureaucratic barrier to health care -- a barrier the incoming Obama administration will find difficult to remove,"" aPhiladelphia Daily News editorial says.",Barrier
My take on the fall of gun control this week.,Downward Movement
The political framework that created the most recent dark days of gun control: how do we keep guns out of the hands of criminals?,Darkness
That is why your VGOC has been working night and day to insure that we not only cut off the gun control branches but start hacking at the root of the problem by making sure the angry new patriots running for office truly understand the realities of political warfare.,Plant
"The E100 is not quite the shiny, strokable wonder that was the Clix, but it does have a pared-back, elegant design that gives Apple a run for its (mountain of) money.",Hazardous Geographic Feature
"Individually and collectively, we possess the power to protect and maintain democracy and democratic values.",Physical Harm/Protection
"After the recent article on the addiction of gun control, a reader left this rebuttal: Odd.",Addiction
Firearm owners seem to be convinced the way to fight gun control is to instil some sort of appreciation for guns.,Struggle/War
"The success of the 2012 Neighborhood Council elections in the short time frame was due to the hard work and collaboration of the Department staff, especially the IEAs, and the Neighborhood Councils with the Mayor's Office, City Council, Chief Administrative Officer, Chief Legislative Analyst, Office of the Controller, Office of the City Attorney, and the Office of the City Clerk, who set a solid election foundation and assisted the Department during election preparations.",Building
Gun control is selling perceived safety by scare tactics and making people afraid.,Business
"If you have a smart gun with a bracelet, the government could hack into it, and shut you down.",Theft
"Ultimately, it's not about opposing “smart” guns, so much as it is about opposing dumbassery.",Struggle
I'm going to let you in on a little secret: I'm an opponent of gun control.,Competition/Struggle
"Who spends more time defending the role of money in politics, free-market-loving libertarians or do-gooder leftists who think that money corrupts?",Contamination/Crime
Poverty robs people of the ability to manage their time.,Crime/Theft
The Muslim Brotherhood favored exploitation of democracy to destroy democracy; and Salifah,Resource
3. a terroristic method of governing or of resisting a government.,Struggle
Understanding the drama of democracy: looking back at the 7th international conference in Interpretive Policy Analysis,Story
Higher taxes on the rich will hurt small businesses and discourage job creatorsA recent Treasury analysis found that only 2.5% of small businesses would face higher taxes from the expiration of the Bush tax cuts.,Physical Harm
Our culture is one that worships poverty and crime.,A God
"If it is the money itself that is evil, then we can make ourselves into poor innocent victims of evil wealth.",Monster
"More than ever before, government is destroying private enterprise on the one hand, and offering permanent dependency on the other hand.",Physical Harm
"Among the more startling facts presented in the report: while median income for America’s middle class fell five percent from $72,956 to $69,487 in the years 2000-2011, median wealth plummeted by 28 percent, ""erasing two decades of gains.""",Downward Movement
"And the ILO has a tremendous interest in microcredit precisely because fighting poverty is at the heart of our mandate"", said Somavia.",Struggle/War
"This reclaiming of their lands reinforces their right to them, and their possession remains unbroken thereafter.",Building/Strength
"In no way do our efforts challenge the right to bear arms.""",Competition
One can expect these factors to diminish in influence as the democracy becomes more transparent and as elections become more competitive.,Competition
Wealth trumps income when looking at within achievement level impact on college attendance.,Game
So are you arguing that the founders opposed private gun ownership?,Struggle
"The citizens of NJ let their gun rights fly out the window, thats their problem.",Journey
True to a point but might I point out the same type of suppositions are used to attack gun rights.,Struggle/War
"On the other hand, in 2000 Jeb Bush stole the election in Florida for his brother, and moved the most conservative and militaristic administration ever.",Theft
Killing Poverty Has the corruption in Kenya lessened under its new president?,Physical Harm
"Well, other than feeding the city's sales tax addiction what do we get as a city for its citizens?",Addiction
"Share Opinions of presidential hopeful Rudolph Giuliani vary at Chelsea's West Side Rifle and Pistol Range: The staff and customers describe the former mayor's gun control journey as everything from ""opportunistic"" to ""realistic.""",Journey
Mr. Bloomberg said last week that he would work to defeat Republicans and Democrats alike who opposed gun control.,Competition/Struggle
"Take the gun control hat off for a moment and imagine that someone had the sense to stop a man with a bag full of gas canisters, gas mask, body armour and a helmet.",Clothing
"lthough no one is required to literally worship the State or its rulers, this society is held together by the veneration of wealth and the exercise of political power.",A God
The Second Amendment is a beacon of freedom and as such the vast majority of Americans support the private ownership of firearms.,Light
each passing year and suggestions to make schools untouchable islands of peace are not really achievable with our current budget contraints 6- the gun lobby and gun culture have so won the day on this issue that they are beyond challenge politically and nothing will come of these incidents,Competition/Game
"I am therefore hijacking the terminology again, and declaring America on the edge of a gun control cliff.",Abyss
"Alas, in the old age of democracy in which we live, equality takes precedence over liberty",Life Stage
"A recent paper by Yale Tax Law Professor Susannah Tahk introduces the concept of the ""tax war on poverty"" and analyzes the growing number of tax code provisions to which the concept refers.",War
"Several states under Democratic leadership have strengthened state gun laws since the massacre of 6- and 7-year-olds at Sandy Hook Elementary School in Newtown, Conn., in December, including New York, Colorado, Maryland and Connecticut.",Building/Strength
"Apparently, some far left gays figure they can get even by opposing gun rights figuring most or a majority of gun owners are hostile to their ""Gay rights"". many of the most idiotic anti gun arguments I have heard have come from militant gays.",Competition/Struggle
"What is curious is how people furiously defend gun rights, while don't for other weapons.",Protection
"Von Stewart, a Forest Hills resident of five years, said Weiner has his vote next year, but said the congressman destroyed his mayoral aspirations.",Natural Physical Force
Neither gun control or government has produced a working crystal ball although both believe they have one.,Factory
"A quick glance at George W. Bush's governing style during his first term reveals that whenever he reaches out to congressional Democrats, the result has been legislation that maims taxpayers and divides the Republican party down the middle.",Physical Harm
It is my personal opinion that a corrupt democracy is superior to an efficient dictatorship because of that exact reason.,Crime/Contamination
"Over the past quarter century, the world has witnessed the fall of communism in Eastern Europe, the end of apartheid in South Africa, and the collapse of military dictatorships in Latin America.",Building/Natural Physical Force
"The sales tax victory had special resonance this evening in light of the presentation by Patty Wormeck, the district's finance director, on the district's annual financial report.",Competition/Game/War
"He lowers his hand but lifts his chin in self-righteous indignation, clearly trying to make me feel like an inferior low-life who is being dragged into the abyss of guns, drugs, and alcohol.",Abyss
"However, the torture of bureaucracy did not stop the workers from going on strike---they fought for their rights.",Crime
"Show the world that the NRA isn't just a bunch of old crotchety dudes and that there a plenty of us younger, informed, not puppets of the liberal media that proudly carry the torch of gun rights for us and the future responsible firearms owners.",Fire
"How can local governments and civil-society organizations effectively fight poverty and promote social responsibility in countries as diverse as Canada, China and Ghana?",Struggle
His election victory was a high point in the history of post Civil War Illinois.,Competition/Game/Struggle
Archbishop unveils plans for London event to challenge global governments to reach targets on tackling poverty,Game
Democracy destroys freedom.,Natural Physical Force/Physical Harm
"China's industrial production for October rose by 15.7 percent, lower than 16.1 percent in September, data from the State Information Center. Now Chinese government is cooling the overly fast growing economy, and the falling of industrial production can ease the worry about the speedup of economic growth, expressed Michael Spencer, chief economist at Deutsche Bank Hong Kong branch. If the to-be-announced economic statistics show a slowed economic growth as the industrial production does, the central bank will unlikely raise the interest rates recently, concludedsome analysts.",Temperature
