,Unnamed: 0.1,Unnamed: 0,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12,phrase_1,phrase_2,xAttr,xEffect,xIntent,xNeed,xReact,xReason,xWant
517,517,34,"Democracy may cure the symptoms, but it will not cure what really ails the muslim world.",01 Health and Safety,Protection,Democracy,,cure,Democracy,Democracy,cure,Disease/Medicine,155913.0,,,cure the,cure the,"[[' helpful', ' skilled', ' smart']]","[[' gets thanked', ' PersonX becomes famous.', ' PersonX is thanked']]","[[' to be helpful', ' to be a doctor', ' to be a doctor.']]","[[' to know how to cure it', ' to know how to cure the disease', ' to know how to cure something']]","[[' happy', ' accomplished', ' good']]","[[' PersonX is a doctor', ' PersonX is a doctor.', ' PersonX is a medical doctor']]","[[' to be a doctor', ' to continue curing the disease', ' to continue curing']]"
518,518,1523,"The committee urged the departure of legislation to deal with crowd to affirmher violence , prevent rape of civil rights , to extend skilful and equal rights of citizenship to all Americans , and to pass along discrimi ground and separationism in accommodation , upbringing , study , housing , and unexclusive service .",06 Morality and Justice,Victim,civil rights,rape of [victim],rape,civil rights,Democracy,rape,Theft,152778.0,,,rape of [victim],rape of victim,"[[' violent', ' mean', ' evil']]","[[' gets arrested', ' PersonX is arrested', ' PersonX is arrested.']]","[[' to have sex with the victim', ' to have sex', ' to have sex with the victim.']]","[[' to have sex with the victim', ' to be in a relationship with the victim', ' to be in a relationship with victim']]","[[' guilty', ' sad', ' guilty.']]","[[' PersonX rapes the victim', ' PersonX is a rapist', ' PersonX gets arrested for rape']]","[[' to get away with it', ' to run away', ' to get away from the scene']]"
519,519,1560,"Have you read ""Unintended Consequences"" by John Ross? the novel is primarily about the growth of gun control in America, but there is a sidestory of the Warsaw Ghetto and how just a few guns allowed people to tie up a lot of Nazi military resources.",08 Plants,Undesirable Plant,gun control,growth of [undesirable plant],growth,gun control,Control of Guns,growth,Plant,2377050.0,08 Plants,Undesirable Plant,growth of [undesirable plant],growth of undesirable plant,"[[' careless', ' irresponsible', ' curious']]","[[' none', ' PersonX gets arrested.', ' PersonX gets arrested']]","[[' none', ' to grow something', ' to grow a plant']]","[[' none', ' to grow a plant', ' to grow the plant']]","[[' like they are doing something good for the environment', ' like they are doing something good for the environment.', ' like they are doing something good for the world.']]","[[' PersonX grows a plant', ' PersonX plants a plant', ' PersonX plants a tree']]","[[' to get rid of the plant', ' to get rid of it', ' to get rid of the unwanted plant']]"
520,520,99,Anyone can call their personal insanity a religion in order to try to get government protection.,01 Health and Safety,Protection,government,,protection,government,Government,protection,Protection,2457555.0,,,,,"[[' protective', ' strong', ' safe']]","[[' PersonX is protected', ' PersonX is protected.', ' none']]","[[' to be safe', ' to be protected', ' to be safe.']]","[[' none', ' to know how to protect themselves', ' to know what to do']]","[[' safe', ' protective', ' protected']]","[[' PersonX is in danger', ' PersonX is in a dangerous situation', ' PersonX is in a war zone']]","[[' to be safe', ' to protect others', ' to be protected']]"
521,521,1254,"During Women's History Month, we celebrate the courage, foresight, and resolve of women who have strengthened our democracy.",05 Engineering and Business: Engineering,Built,democracy,,strengthened,democracy,Democracy,strengthened,Building/Strength,1819760.0,,,strengthened our,strengthened our,"[[' strong', ' helpful', ' strong willed']]","[[' none', ' PersonX is thanked', ' PersonX is thanked.']]","[[' to be helpful', ' to be a leader', ' to be a good person']]","[[' none', ' to know how to strengthen something', ' to know how to strengthen it']]","[[' proud', ' accomplished', ' happy']]","[[' PersonX is a strong leader', ' PersonX is a good leader', ' PersonX is a strong person']]","[[' to help others', ' to be a good leader', ' to be a leader']]"
522,522,873,The US kills democracy and kisses dictators!,03 Conflict,Side,democracy,,kills,democracy,Democracy,kills,Physical Harm,1832069.0,,,kills democracy,kills democracy,"[[' immoral', ' violent', ' evil']]","[[' gets arrested', ' PersonX kills democracy.', ' PersonX kills democracy']]","[[' none', ' to be a dictator', ' to be in power']]","[[' none', ' to be a dictator', ' to be in power']]","[[' guilty', ' powerful', ' sad']]","[[' PersonX is a dictator.', ' PersonX is a murderer.', ' PersonX is a dictator']]","[[' to get away with it', ' to be free', ' to get away with it.']]"
523,523,1623,My take on the fall of gun control this week.,12 High and Low,Agent,gun control,fall of [agent],fall of,gun control,Control of Guns,fall,Downward Movement,2377139.0,,,fall of [agent],fall of agent,"[[' careless', ' sadistic', ' incompetent']]","[[' PersonX loses their job.', ' PersonX loses their job', ' PersonX gets fired.']]","[[' none', ' to make money', ' to be alone']]","[[' none', ' to have been an agent', ' to have been an agent before']]","[[' sad', ' upset', ' sad.']]","[[' PersonX gets fired from their job', ' PersonX is fired from their job', ' PersonX gets fired from the job']]","[[' to find a new agent', ' to get a new agent', ' to find a new job']]"
524,524,1141,The unelected civil bureaucracy oppresses the mom and pop businesses which are the backbone of this country.,04 Power and Control: Human,Leader,bureaucracy,,oppresses,bureaucracy,Bureaucracy,oppresses,Enslavement,152578.0,,,oppresses the,oppresses the,"[[' mean', ' dominant', ' powerful']]","[[' gets arrested', ' PersonX is hated by the people.', ' PersonX is hated by the people']]","[[' to be in power', ' to be in charge', ' to be in control']]","[[' none', ' to be in power', ' to be a dictator']]","[[' powerful', ' powerful.', ' strong']]","[[' PersonX is a dictator', ' PersonX is in power', ' PersonX wants to be in charge']]","[[' to be in power', ' to be powerful', ' to be in charge']]"
525,525,254,"As declining property taxes and transfer fees shrink local government revenues, vital services to low- and moderate-income families may also suffer.",01 Health and Safety,Threat,property taxes,,shrink,property taxes,Taxation,shrink,Resource,2560663.0,,,shrink local,shrink local,"[[' friendly', ' competent', ' helpful']]","[[' none', ' PersonX is seen as a shrink.', ' PersonX is seen as a shrink']]","[[' to be helpful', ' to be a shrink', ' to help people']]","[[' none', ' to know how to shrink', ' to know how to shrink local']]","[[' good about themselves', ' happy', ' good about himself']]","[["" PersonX doesn't have the money to hire a shrink."", "" PersonX doesn't know how to shrink."", "" PersonX doesn't have the time to shrink.""]]","[[' to get a new job', ' to get a job', ' to be a shrink']]"
526,526,1055,What protecting and glorifying guns does is degrade and diminish the importance of the right.,04 Power and Control: God,God,guns,,glorifying,guns,Guns,glorifying,A God,2116857.0,,,glorifying guns,glorifying guns,"[[' immoral', ' violent', ' ignorant']]","[[' none', ' PersonX gets arrested.', ' PersonX gets fired.']]","[[' none', ' to be a hero', ' to be a good person']]","[[' none', ' to have a gun', ' to buy a gun']]","[[' proud', ' happy', ' justified']]","[[' PersonX buys a gun', ' PersonX is a gun enthusiast', ' PersonX is a gun owner']]","[[' to get a gun', ' to be a hero', ' to make a point']]"
527,527,514,"For some, the news was received as the liberation of the Legislature:",02 Journey,Change,Legislature,,liberation,Legislature,Government,liberation,Confinement,761307.0,,,liberation of,liberation of,"[[' liberated', ' brave', ' free spirited']]","[[' PersonX is free.', ' PersonX is liberated.', ' PersonX is free']]","[[' to be free', ' to be free.', ' to be liberated']]","[[' none', ' to be in prison', ' to be in power']]","[[' free', ' relieved', ' liberated']]","[[' PersonX wants to be free', ' PersonX is in prison', ' PersonX is in jail']]","[[' to be free', ' to celebrate', ' to get a new job']]"
528,528,1059,"I'm not sure that glorifying the wealthy, as I understand her claim, is any worse than farm boy is secretly heir to throne.",04 Power and Control: God,God,wealthy,,glorifying,wealthy,Wealth,glorifying,A God,2321959.0,,,glorifying the,glorifying the,"[[' religious', ' immoral', ' proud']]","[[' none', ' PersonX is praised', ' PersonX is praised.']]","[[' to be a good person', ' to be a good person.', ' to be nice']]","[[' none', ' to be a good person', ' to know about it']]","[[' happy', ' good about themselves', ' proud']]","[[' PersonX tells a joke', ' PersonX makes a speech', ' PersonX tells a story about a hero']]","[[' to be a good person', ' to be a good role model', ' to be praised']]"
529,529,1626,"When horrible killings take place, gun control rockets up on the public agenda, Spitzer said.",12 High and Low,Agent,gun control,[agent] rockets,rockets up,gun control,Control of Guns,rockets,Upward Movement,2621517.0,,,[agent] rockets,agent rockets,"[[' brave', ' skilled', ' capable']]","[[' PersonX shoots the rocket.', ' PersonX shoots the rocket', ' PersonX shoots the rockets.']]","[[' to be a hero', ' to be a good agent', ' to be a rocket scientist']]","[[' to have a rocket', ' none', ' to get a rocket']]","[[' powerful', ' happy', ' proud']]","[[' PersonX is a rocket scientist', ' PersonX wants to be a rocket scientist', ' PersonX is a rocket scientist.']]","[[' to go to the moon', ' to get to the destination', ' to get to the target']]"
530,530,611,"Democracy competes not against them, but against this consensual authoritarianism.",03 Conflict,Conflict,Democracy,,competes,Democracy,Democracy,competes,Competition/Game,2007191.0,,,competes not,competes not,"[[' competitive', ' athletic', ' determined']]","[[' PersonX wins the competition.', ' PersonX wins the competition', ' PersonX loses the competition']]","[[' none', ' to not compete', ' to not be competitive']]","[[' none', ' to not want to compete', ' to not want to compete.']]","[[' happy', ' satisfied', ' proud']]","[[' PersonX does not want to compete', "" PersonX doesn't want to compete"", "" PersonX doesn't want to be competitive""]]","[[' to relax', ' to rest', ' to go home']]"
531,531,389,"To those who claim that the Congress has no power to pass a bill requiring all States and territories of the United States to enforce the second amendment by requiring them to honor concealed carry permits issued in all other states, the fourteenth amendment was intended to give the Congress exactly such power.",01 Health and Safety,Threatened,second amendment,,enforce,second amendment,Gun Rights,enforce,Rule Enforcer,3769067.0,,,enforce the,enforce the,"[[' authoritative', ' strict', ' strong']]","[[' gets yelled at', ' none', ' PersonX gets yelled at']]","[[' to be in charge', ' to be in control', ' to be a good leader']]","[[' to know the rules', ' none', ' to know the law']]","[[' good about themselves', ' satisfied', ' good about himself']]","[["" PersonX doesn't have the authority to enforce the law."", "" PersonX doesn't have the authority."", "" PersonX doesn't have the authority to do so.""]]","[[' to make sure the rules are followed', ' to make sure everyone follows the rules', ' to make sure everyone is following the rules']]"
532,532,504,"Wealth burdens a man, because of hereditary wealth you force people to submit to you and society should even out disparity among the classes.",02 Journey,Barrier,Wealth,,burdens,Wealth,Wealth,burdens,Physical Burden,1973854.0,,,burdens a,burdens a,"[[' hard-working', ' hardworking', ' responsible']]","[[' none', ' gets yelled at', ' PersonX is burdened']]","[[' none', ' to be helpful', ' to be a burden']]","[[' none', ' to have something to carry', ' to have something to burden']]","[[' guilty', ' sad', ' relieved']]","[[' PersonX wants to be a good person.', ' PersonX wants to be a good person', ' PersonX wants to be helpful.']]","[[' to get rid of the burden', ' to get rid of it', ' to get rid of the burden.']]"
533,533,344,"The group, the best-known defender of gun rights in America, scheduled a news conference for Friday.....<snip> I don't believe the NRA.",01 Health and Safety,Threatened,gun rights,defender of [threatened],defender of,gun rights,Gun Rights,defender,Protection,2904220.0,,,defender of [threatened],defender of threatened,"[[' brave', ' strong', ' protective']]","[[' none', ' PersonX defends PersonY', ' PersonX defends PersonY.']]","[[' to be a good person', ' to be a good friend', ' to be helpful']]","[[' none', ' to know the situation', ' to know what to do']]","[[' good about themselves', ' good about themselves.', ' good about himself']]","[[' PersonX defends PersonY', "" PersonX defends PersonX's friend"", ' PersonX defends PersonY from the threat']]","[[' to defend themselves', ' to be a good person', ' to be a hero']]"
534,534,449,"And as democracy advances in the region, a international group of leading Muslim scholars is leading an effort to define an Islamic basis for citizenship and the rights of minorities.",02 Journey,Agent,democracy,,advances,democracy,Democracy,advances,Forward Movement/Journey,761081.0,,,advances in,advances in,"[[' determined', ' brave', ' aggressive']]","[[' PersonX gets a promotion.', ' PersonX gets a promotion', ' PersonX gets a new job.']]","[[' to be first', ' to be the leader', ' to be in control']]","[[' none', ' to be in a position to advance', ' to be in a position to advance in']]","[[' accomplished', ' happy', ' satisfied']]","[[' PersonX wants to win the game', ' PersonX wants to be the best', ' PersonX wants to win the race']]","[[' to get to the other side', ' to win the game', ' to get to the top of the mountain']]"
535,535,1150,"This new tax system exploits the poor!""",04 Power and Control: Human,Leader,tax system,,exploits,tax system,Taxation,exploits,Physical Harm,2146249.0,,,exploits the,exploits the,"[[' greedy', ' immoral', ' cunning']]","[[' PersonX gets rich.', ' PersonX gets rich', ' gets arrested']]","[[' to make money', ' to be rich', ' to get rich']]","[[' none', ' to know how to exploit it', ' to know how to do it']]","[[' like a winner', ' happy', ' powerful']]","[[' PersonX is a criminal.', ' PersonX wants to be rich', ' PersonX is a thief.']]","[[' to make money', ' to get rich', ' to make a profit']]"
536,536,1010,But our goal after an election is won shouldn't be to rub it in the other party's face.,03 Conflict,Winner,election,,won,election,Elections,won,Competition/Game,3515085.0,,,won shouldn't,won shouldn't,"[[' indecisive', ' stubborn', ' willful']]","[[' none', ' gets yelled at', ' PersonX gets in trouble']]","[[' none', ' to avoid something', ' to be safe']]","[[' none', ' to not want to', ' to not want to do it']]","[[' like they are doing the right thing', ' like they are doing the right thing.', ' like they are doing the right thing by themself']]","[[' PersonX wants to go to the movies', ' PersonX wants to go to the concert', ' PersonX wants to go to a concert']]","[[' to not do it', ' to not do something', ' to not do it again']]"
537,537,359,"Perhaps that statement aimed to reject speculation on the part of some US politicians, such as Senator Bob Graham, who attributed Bush's refusal to an effort to protect the Saudi government.",01 Health and Safety,Threatened,government,,protect,government,Government,protect,Protection,2666831.0,,,protect the,protect the,"[[' protective', ' caring', ' strong']]","[[' none', ' PersonX protects PersonY.', ' PersonX protects PersonY']]","[[' to be a good person', ' to be a good friend', ' to be a good person.']]","[[' none', ' to know how to protect it', ' to know what to do']]","[[' protective', ' safe', ' happy']]","[[' PersonX is a police officer.', ' PersonX is a cop.', ' PersonX is a police officer']]","[[' to be a hero', ' to be a good person', ' to be a good parent']]"
538,538,12,The smooth flow of international trade is critical to the functioning of the modern food industry.,01 Health and Safety,Beneficial,trade,,flow,trade,Wealth,flow,Body of Water/Movement,2666814.0,,,flow of,flow of,"[[' responsible', ' active', ' capable']]","[[' none', "" PersonX's flow of blood slows down."", "" PersonX's flow of blood slows down""]]","[[' none', ' to be in control', ' to be efficient']]","[[' none', ' to know how to flow', ' to know how to do it']]","[[' happy', ' satisfied', ' happy.']]","[[' PersonX has a lot of work to do', ' PersonX is in the middle of a race', ' PersonX has a lot of work to do.']]","[[' to go home', ' to go to sleep', ' to get a drink']]"
539,539,322,Has Inflation Hurt the Poor?,01 Health and Safety,Threatened,the Poor,,Hurt,the Poor,Poverty,Hurt,Physical Harm,2879867.0,,,Hurt the,Hurt the,"[[' mean', ' violent', ' cruel']]","[[' gets arrested', ' PersonX gets arrested.', ' PersonX gets arrested']]","[[' none', ' to hurt someone', ' to hurt someone.']]","[[' none', ' to have a weapon', ' to have hurt someone']]","[[' sad', ' hurtful', ' angry']]","[[' PersonX hits PersonY in the head', ' PersonX hits PersonY in the head.', ' PersonX hits PersonY']]","[[' to apologize', ' to get away from the situation', ' to apologize to PersonY']]"
540,540,4,Most experts believe that increased criminal penalties of the kind proposed in the federal law could help play a role in stanching the flow of guns from traffickers to criminals.,01 Health and Safety,Beneficial,guns,,flow,guns,Guns,flow,Body of Water/Movement,2837550.0,,,flow of,flow of,"[[' responsible', ' active', ' capable']]","[[' none', "" PersonX's flow of blood slows down."", "" PersonX's flow of blood slows down""]]","[[' none', ' to be in control', ' to be efficient']]","[[' none', ' to know how to flow', ' to know how to do it']]","[[' happy', ' satisfied', ' happy.']]","[[' PersonX has a lot of work to do', ' PersonX is in the middle of a race', ' PersonX has a lot of work to do.']]","[[' to go home', ' to go to sleep', ' to get a drink']]"
541,541,104,"After the recent article on the addiction of gun control, a reader left this rebuttal: Odd.",01 Health and Safety,Threat,gun control,,addiction,gun control,Control of Guns,addiction,Addiction,2376902.0,,,addiction of,addiction of,"[[' addicted', ' unhealthy', ' irresponsible']]","[[' PersonX is addicted to drugs.', ' PersonX becomes addicted to drugs.', ' PersonX gets addicted to drugs.']]","[[' none', ' to be addicted', ' to get high']]","[[' none', ' to be addicted to something', ' to get addicted to something']]","[[' addicted', ' guilty', ' ashamed']]","[[' PersonX is addicted to drugs', ' PersonX gets addicted to drugs', ' PersonX is addicted to alcohol']]","[[' to get help', ' to get better', ' to stop']]"
542,542,1660,In the process they burn their fingers and even fall deeper down the abyss of poverty.,12 High and Low,Scale,poverty,,abyss,poverty,Poverty,abyss,Abyss,158567.0,,,abyss of,abyss of,"[[' scared', ' brave', ' adventurous']]","[[' PersonX falls into the abyss', ' PersonX falls into the abyss.', ' PersonX falls into the abyss of death']]","[[' none', ' to be alone', ' to escape from reality']]","[[' none', ' to be in the abyss', ' to have been in the abyss']]","[[' sad', ' scared', ' relieved']]","[[' PersonX falls into the abyss', ' PersonX goes to the bottom of the ocean', ' PersonX goes to the bottom of the sea']]","[[' to get out of the abyss', ' to get out of there', ' to get out of the abyss.']]"
543,543,1090,"Communism is a system with a totalitarian, absolutist government that rules over everyone's lives, and this must be the natural form of government for people who worship the government.",04 Power and Control: God,God,government,,worship,government,Government,worship,A God,152399.0,,,worship the,worship the,"[[' religious', ' spiritual', ' devout']]","[[' none', ' PersonX worships PersonY.', ' PersonX worships PersonY']]","[[' to be a good person', ' none', ' to be a good person.']]","[[' none', ' to be religious', ' to have a religion']]","[[' worshipful', ' happy', ' good about themselves']]","[[' PersonX is a religious person.', ' PersonX is a religious person', ' PersonX is very religious']]","[[' to be a good person', ' to pray to God', ' to pray to god']]"
544,544,1024,Our state government victory can mean a great deal -- if we have the wisdom and courage to use this power to show the real difference between the Party of Obama and the Party of Liberty.,03 Conflict,Winner,Government,,victory,government,Government,victory,Competition/War,3120221.0,,,victory can,victory can,"[[' victorious', ' successful', ' determined']]","[[' PersonX wins the game.', ' PersonX wins the game', ' PersonX wins the competition.']]","[[' none', ' to win', ' to be successful']]","[[' none', ' to work hard', ' to work hard at it']]","[[' happy', ' accomplished', ' proud']]","[[' PersonX wins the game', ' PersonX wins the race', ' PersonX wins the lottery']]","[[' to celebrate', ' to win the game', ' to win the competition']]"
545,545,1357,"There's no doubt that Iraq's Green Zone government, under heavy pressure from its own people and neighbours such as Iran, extracted significant concessions from US negotiators to the blanket occupation licence in the original text.",05 Engineering and Business: Resource,Extractor,government,,extracted,government,Government,extracted,Forceful Extraction,2466494.0,,,extracted significant,extracted significant,"[[' resourceful', ' smart', ' determined']]","[[' none', ' PersonX gets a promotion.', ' PersonX gets a promotion']]","[[' none', ' to make money', ' to get something']]","[[' none', ' to know how to extract something', ' to know how to extract it']]","[[' accomplished', ' satisfied', ' happy']]","[[' PersonX has a lot of work to do.', ' PersonX has a lot of work to do', ' PersonX has a lot of money.']]","[[' to make money', ' to make a profit', ' to get a good grade']]"
546,546,1197,Trying to sell gun rights to wingnuts is like trying to convince Bin Laden to become a Buddhist and contemplate temple bells with the Dalai Lama.,05 Engineering and Business: Business,Product,gun rights,,sell,gun rights,Gun Rights,sell,Business,2376991.0,,,sell gun,sell gun,"[[' violent', ' immoral', ' dishonest']]","[[' PersonX makes a lot of money', ' PersonX makes a lot of money.', ' PersonX makes money']]","[[' to make money', ' to make money.', ' to be rich']]","[[' to have a gun', ' to get a gun', ' to have a gun.']]","[[' satisfied', ' happy', ' proud']]","[[' PersonX sells a gun for money', ' PersonX sells a gun to someone else', ' PersonX sells a gun for money.']]","[[' to make money', ' to make a profit', ' to get a commission']]"
547,547,572,"Not to mention the irrational card, the honesty card, the despise card, the gun-hater card, the gun-disarming card, the destroy gun groups card, the \you need to get some treatment for that condition\"" card and the far left-wing idiocy card !!""",03 Conflict,Aid,gun-hater,[aid] card,,gun-hater,Guns,card,Game,,,,[aid] card,aid card,"[[' helpful', ' generous', ' responsible']]","[[' PersonX gets a receipt.', ' none', ' PersonX gets a receipt']]","[[' to help others', ' to be helpful', ' to help someone']]","[[' to go to the store', ' to go to the doctor', ' to go to the hospital']]","[[' helpful', ' happy', ' relieved']]","[[' PersonX needs to pay for the hospital bill.', ' PersonX needs to pay for their medication.', ' PersonX needs to pay for the aid card.']]","[[' to go to the doctor', ' to go to the hospital', ' to get a job']]"
548,548,562,"The arrest of Lima mayor Luis Bedoya, also taped apparently receiving cash, could taint the candidacy of Lourdes Flores of the National Unity ticket.",03 Conflict,Aid,candidacy,,taint,candidacy,Elections,taint,Contamination,1076717.0,,,taint the,taint the,"[[' immoral', ' evil', ' mean']]","[[' none', ' PersonX gets in trouble.', ' PersonX gets in trouble']]","[[' none', ' to be a bad person', ' to be a bad influence']]","[[' none', ' to be a bad person', ' to be in a relationship with someone']]","[[' guilty', ' bad', ' guilty.']]","[[' PersonX is a bad person', ' PersonX is a criminal', ' PersonX is a bad influence']]","[[' to get away with it', ' to get away from the situation', ' to get away from it']]"
549,549,155,"I think it is their own media and government (again, the media) forcing ""the evil gun pill"" down their throats.",01 Health and Safety,Threat,gun,,pill,gun,Guns,pill,Medicine,3123948.0,,,,,"[[' responsible', ' sickly', ' sick']]","[[' PersonX takes the pill.', ' PersonX takes the pill', ' PersonX takes a pill.']]","[[' to feel better', ' to be healthy', ' to get better']]","[[' to take the pill', ' none', ' to get the pill']]","[[' relieved', ' happy', ' satisfied']]","[[' PersonX takes a pill', ' PersonX takes the pill', ' PersonX takes a pill to feel better']]","[[' to feel better', ' to take a nap', ' to take a shower']]"
550,550,1654,"The story went on to be a classic tale of a customer having a problem, contacting a giant organization, and feeling like their call for help echoed into the unknown abyss of bureaucracy.",12 High and Low,Scale,bureaucracy,,abyss,bureaucracy,Bureaucracy,abyss,Abyss,152575.0,,,abyss of,abyss of,"[[' scared', ' brave', ' adventurous']]","[[' PersonX falls into the abyss', ' PersonX falls into the abyss.', ' PersonX falls into the abyss of death']]","[[' none', ' to be alone', ' to escape from reality']]","[[' none', ' to be in the abyss', ' to have been in the abyss']]","[[' sad', ' scared', ' relieved']]","[[' PersonX falls into the abyss', ' PersonX goes to the bottom of the ocean', ' PersonX goes to the bottom of the sea']]","[[' to get out of the abyss', ' to get out of there', ' to get out of the abyss.']]"
551,551,992,"KABUL, Afghanistan (AP) -- Afghans and the international community hailed its presidential election as a triumph of democracy over violence Sunday, despite complaints about ballot shortages and sporadic fraud after millions of people braved a Taliban threat to vote for a new president.",03 Conflict,Winner,democracy,,triumph,democracy,Democracy,triumph,Competition,3118219.0,,,triumph of,triumph of,"[[' successful', ' proud', ' victorious']]","[[' PersonX gets a medal.', ' PersonX smiles with pride', ' PersonX smiles with pride.']]","[[' none', ' to be successful', ' to be the best']]","[[' none', ' to work hard', ' to work hard at it']]","[[' happy', ' proud', ' accomplished']]","[[' PersonX wins the lottery', ' PersonX wins the race', ' PersonX wins the game']]","[[' to celebrate', ' to celebrate with friends', ' to celebrate their victory']]"
552,552,590,Instead of actually discussing the topic you hide behind the shield of the 2nd Amendment.,03 Conflict,Aid,2nd Amendment,,shield,2nd Amendment,Gun Rights,shield,Protection,3123798.0,,,shield of,shield of,"[[' protective', ' strong', ' brave']]","[[' none', ' PersonX is protected', ' PersonX is protected.']]","[[' to protect himself', ' to be safe', ' to protect themselves']]","[[' none', ' to have a shield', ' to find a shield']]","[[' protective', ' safe', ' protected']]","[[' PersonX is in the middle of a war', ' PersonX is in the middle of a fight', ' PersonX is in a war']]","[[' to protect themselves', ' to protect others', ' to protect the people']]"
553,553,238,Erekat: Israeli bullets are killing the peace process Palestinian negotiator Saeb Erekaton has accused Israel of burying the peace process after it escalated military operations in the Gaza Strip and killed over 500 Palestinians.,01 Health and Safety,Threat,bullets,,killing,bullets,Guns,killing,Physical Harm,3014047.0,,,killing the,killing the,"[[' violent', ' mean', ' evil']]","[[' gets arrested', ' PersonX commits a crime.', ' PersonX commits a crime']]","[[' to kill someone', ' to get revenge', ' to be a killer']]","[[' to get a gun', ' to have a weapon', ' to have a gun']]","[[' guilty', ' sad', ' guilty.']]","[[' PersonX is a murderer.', ' PersonX has a gun.', ' PersonX is a murderer']]","[[' to hide the evidence', ' to hide from the police', ' to run away']]"
554,554,1189,Perhaps 5â€“10% of firearms trafficking operations involve illegal sales knowingly made by a retail licensee.,05 Engineering and Business: Business,Business,firearms,,operations,firearms,Guns,operations,Machine,2837548.0,,,operations involve,operations involve,"[[' hardworking', ' hard-working', ' hard working']]","[[' none', ' PersonX gets a promotion.', ' PersonX gets injured.']]","[[' to be successful', ' none', ' to make money']]","[[' none', ' to know what to do', ' to know what they are doing']]","[[' accomplished', ' satisfied', ' happy']]","[[' PersonX has a lot of work to do', ' PersonX has a job to do', ' PersonX has a lot of work to do.']]","[[' to be successful', ' to make money', ' to make a profit']]"
555,555,1224,A few users here were going about saying that the government can't create wealth or jobs.,05 Engineering and Business: Engineering,Built,wealth,,create,wealth,Wealth,create,Building,2890506.0,,,create wealth,create wealth,"[[' rich', ' wealthy', ' talented']]","[[' PersonX has a lot of money.', ' PersonX has a lot of money', ' PersonX becomes rich.']]","[[' to be rich', ' to be wealthy', ' to be rich.']]","[[' to work hard', ' to have a plan', ' to work hard at it']]","[[' happy', ' accomplished', ' proud']]","[[' PersonX works hard at their job', ' PersonX has a lot of money', ' PersonX works hard to make money']]","[[' to buy a house', ' to invest the money', ' to buy a new house']]"
556,556,1388,Poverty is a crime for which both Labor and Liberal parties in government are responsible.,06 Morality and Justice,Crime,Poverty,,crime,Poverty,Poverty,crime,Crime,761442.0,,,crime for,crime for,"[[' criminal', ' violent', ' guilty']]","[[' gets arrested', ' PersonX is arrested', ' PersonX is arrested.']]","[[' none', ' to get away with something', ' to be a criminal']]","[[' none', ' to commit a crime', ' to have committed a crime']]","[[' guilty', ' guilty.', ' sad']]","[[' PersonX commits a crime', ' PersonX commits a crime for the first time', ' PersonX commits a crime.']]","[[' to go to jail', ' to get out of jail', ' to get out of trouble']]"
557,557,204,"But I propose the AMaxT entirely to limit the economic damage of taxation, a goal you must consider even if you think it's ""fair"" to take every cent of a rich person's income.",01 Health and Safety,Threat,taxation,,damage,taxation,Taxation,damage,Physical Harm,3121833.0,,,damage of,damage of,"[[' careless', ' destructive', ' damaged']]","[[' none', ' PersonX is injured.', ' PersonX is injured']]","[[' none', ' to hurt someone', ' to hurt someone.']]","[[' none', ' to have done something wrong', ' to have done something bad']]","[[' sad', ' hurt', ' angry']]","[[' PersonX breaks a window', "" PersonX breaks PersonY's leg"", "" PersonX breaks PersonY's car""]]","[[' to fix the damage', ' to repair the damage', ' to fix it']]"
558,558,20,"It’s a huge bureaucratic parasite that feeds directly from the veins of young people – outrageously over-charging them for insurance products they don’t want, to pay off other constituencies, and feed the growing army of government employees.",01 Health and Safety,Beneficial,veins,,,bureaucratic,Bureaucracy,parasite,Parasite,762344.0,,,parasite that,parasite that,"[[' mean', ' sickly', ' sick']]","[[' none', ' PersonX gets sick', ' PersonX gets sick.']]","[[' none', ' to be a parasite', ' to be a parasite.']]","[[' none', ' to find a place to live', ' to have a parasite in their body']]","[[' like they are a part of something', ' like they are a part of something.', ' like they are a part of the group']]","[[' PersonX is a parasite', ' PersonX has a parasite in their body', ' PersonX has a parasite in their body.']]","[[' to get rid of the parasite', ' to get rid of it', ' to get rid of them']]"
559,559,1556,"Firstly, it should be held responsible for its choice, and secondly, democracy harvests what it deserves.",08 Plants,Farmer/Gardener,democracy,[farmer/gardener] harvests,harvests,democracy,Democracy,harvests,Crop,163237.0,,,[farmer/gardener] harvests,farmer/gardener harvests,"[[' hardworking', ' hard-working', ' hard working']]","[[' PersonX has a good harvest.', ' PersonX has a good harvest', ' PersonX gets a paycheck.']]","[[' to make money', ' to grow food', ' to be productive']]","[[' to have a garden', ' to buy seeds', ' to plant the seeds']]","[[' happy', ' accomplished', ' proud']]","[[' PersonX plants a garden', ' PersonX grows vegetables', ' PersonX buys a farm']]","[[' to sell the produce', ' to eat the food', ' to sell the crops']]"
