,Sentence,metaphore,target_domain,source_domain,highlighted_aspect,PartOf,Causes,IsA,DefinedAs
421,"Then the old Rome, like the beggar on horseback, presumed on the favor of the gods, and said, ""Lo! there is neither riches nor greatness in our littleness: the road to riches and greatness is through robbery of the poor and slaughter of the weak.""",robbery,Poverty,Theft,Victim,"[' none', ' get rich', ' have no money']","[' poor', ' greedy', ' sad']","[' none', ' the poor to get rich', ' the poor to become rich']","[' none', ' the poor to get rich', ' the poor to be robbed']"
422,It completely glosses over the abject surrender of government from the policy making exercise.,surrender,Government,War,Loser,"[' none', ' it is not a good idea', ' it is not a good thing']","["" it doesn't make sense"", "" it doesn't make any sense"", "" it doesn't make sense.""]","[' none', ' it is a lie', ' it is not about politics']","[' none', ' it is not a good idea', ' it is not a good thing']"
423,"Two leading astrologers, Chris Brennan and Patrick Watson, in their article titled Prediction for the 2012 US Presidential Election published on April 29, 2012, said that ""both candidates go into important ""peak periods"" in the summer prior to the election, but that Romney begins a more difficult sub-period starting in mid-October, right before the second debate, ultimately resulting in the loss of the election in November.""",loss,Elections,Game,Conflict,"[' none', ' they lose the election', ' they lose the election.']","[' make a prediction', ' none', ' make a decision']","[' make a prediction', ' none', ' make a prediction.']","[' they lose the election', ' none', ' they lose the election.']"
424,We know that this democracy disintegrated following the rise of capitalist trade and monarchical absolutism.,disintegrated,Democracy,Physical Harm,Resource,"[' we are no longer in a democracy', ' we are no longer in the same country', ' we are no longer a democracy']","[' we have lost our democracy', ' we have a new democracy', ' we have a democracy']","[' we have a new democracy', ' we have a democracy', ' we have no democracy']","[' we have to learn from history', ' we have a new democracy', ' we have to learn how to survive']"
425,The GOP protects the rich at all cost and are willing to sink the whole ship to do it.,protects,Wealth,Protection,Threatened,"[' get rich', ' the rich to be protected', ' the rich to be safe']","[' the rich to be protected', ' the rich to be safe', ' the rich to get rich']","[' get rich', ' the rich to be protected', ' the rich to be safe']","[' get rich', ' the rich to be protected', ' the rich to get rich']"
426,This thread points out the father like all of the rest of the anti-gun people skip over the facts and reality and jump right to teh eeeeevil guns owe da horrra!!! Im sure the first three victims that had their ****ing skulls bashed and were stabbed to death...their families can take comfort in knowing that the anti-gun crowd will ignore them and use the entire event as a springboard to attack guns.,attack,Guns,Struggle/War,Enemy,"[' none', ' get a restraining order against them', ' get a restraining order against the father']","[' none', ' to get the job done', ' to be a good person']","[' none', ' to attack the people', ' to attack the father']","[' none', ' get a restraining order against the father', ' get a restraining order against the other person']"
427,"And baby, the purveyors of that distraction and division will have the blood of a butchered democracy on their greedy hands.",butchered,Democracy,Animal/Physical Harm,Domesticated Animal,"[' angry', ' sadistic', ' violent']","[' violent', ' angry', ' mean']","[' angry', ' sadistic', ' evil']","[' the people to get their way', ' people who are not in the same boat', ' people who are not in the same boat.']"
428,"I promise, the junior-level civil servants and military types know very, very well how the bureaucracy damages the entire system.",damages,Bureaucracy,Physical Harm,Threat,"[' none', ' people who are in charge of the system', ' people who are in charge of the system.']","[' knowledgeable', ' intelligent', ' smart']","[' I will not tell you how to fix it.', ' I will not tell you how to do it.', ' I will not tell you how bad it is.']","[' none', ' I will not tell you how to fix it.', ' I will not tell you how to fix the system.']"
429,"In an uncertain environment such as Obama has brought us, the additional taxes can be very inhibiting - particularly for those businesses that would otherwise be expanding and hiring.",inhibiting,Taxation,Confinement,Threat,"[' have to pay more taxes', ' have less money', ' have less money to spend']","[' hard-working', ' hard-working people', ' hardworking']","[' tax increase', ' tax increases', ' taxes on business']","[' tax increase', ' tax increases', ' taxes are increased']"
430,"But over years and decades, social media will enhance democracy.",enhance,Democracy,Movement/Upward Movement,Built,"[' none', ' have more people to talk to', ' have more people to vote for']","[' social media is bad for democracy.', ' social media is bad for democracy', ' social media is not a good thing.']","[' social media', ' social media is bad for democracy', ' social media is bad for democracy.']","[' social media', ' social media is not good for democracy.', ' social media is not a good thing.']"
431,But gun control is theft - plain and simple - and I intend to attack gun control without talking specifically about guns.,attack,Control of Guns,War,Threatened,"[' none', ' gun control is illegal', ' gun control is illegal.']","[' gun control is illegal', ' gun control', ' gun control is illegal.']","[' gun control', ' gun control is illegal', ' gun control is illegal.']","[' gun control is illegal', ' none', ' gun control is illegal.']"
432,"More than ever before, government is destroying private enterprise on the one hand, and offering permanent dependency on the other hand.",destroying,Government,Physical Harm,Threat,"[' more people dependent on government', ' more people dependent on the government', ' more people depend on government']","[' rich', ' powerful', ' greedy']","[' more people dependent on government', ' more people depend on government', ' more people to depend on']","[' more people dependent on government', ' more people depend on government', ' more people to depend on government']"
433,"That there are now 38 RTC states without such horrors does not deter the gun control addict, for theirs is not a crusade based upon logic or statistical reality.",addict,Control of Guns,Addiction,Threat,"[' none', ' get a new job', ' get a new gun']","[' gun control', ' gun-loving', ' gun-happy']","[' gun control', ' none', ' gun violence']","[' none', ' gun control', ' gun violence']"
434,"In these ways, AIDS reinforces gender inequities, deepens household poverty and threatens future generations (2004 Report on the Global AIDS Epidemic, UNAIDS).",deepens,Poverty,Abyss,Built,"[' none', ' inhumane', ' get sick']","[' in need of help', ' in need of treatment', ' in need of medical help']","[' inhumane', ' in need of help', ' in need of treatment']","[' inhumane', ' in need of help', ' inhumane ways']"
435,"Apparently, wealth wins over good looks -- Milton appears to have been a not unattractive young man!",wins,Wealth,Competition/Game,Winner,"[' none', ' get married', ' get a job']","[' none', ' attractive', ' beautiful']","[' none', ' get married', ' get a job']","[' none', ' get married', ' get a job']"
436,Sell not virtue to purchase wealth nor liberty to purchase power.,purchase,Wealth,Business,Product,"[' none', ' get rich', ' buy a house']","[' none', ' get rich', ' have power']","[' none', ' get rich', ' get a job']","[' none', ' get rich', ' buy a house']"
437,"The sales tax victory had special resonance this evening in light of the presentation by Patty Wormeck, the district's finance director, on the district's annual financial report.",victory,Taxation,Competition/Game/War,Conflict,"[' the district to get a raise', ' the district to be successful', ' the district to have a good budget']","[' responsible', ' successful', ' happy']","[' good about themselves', ' happy', ' good for the district']","[' the district to get a raise', ' the district to be successful', ' the district to have a good budget']"
438,"Dudley claimed to be at the United Nations for the Arms Trade Treaty conference, yet nobody saw him in the building, but they did see Alan Gottlieb there, fighting to protect Americans' gun rights.",protect,Gun Rights,Protection,Protection,"[' none', ' they get a lecture from him', ' they see him in the building']","[' none', ' proud', ' happy']","[' none', ' they were told to stay away from him', ' they were told to stay away from them']","[' none', ' they were told to stay away from him', ' they were told to stay away from them']"
439,"State governments should be given more power, as only a means to dilute the bureaucracy and allow the people a greater voice.",dilute,Bureaucracy,Resource,Change Type,"[' state governments to have more power', ' state governments to be more powerful', ' state government to be more powerful']","[' powerful', ' state government', "" state's rights""]","[' state governments should be less powerful than the federal government', ' state governments should be less powerful than the federal government.', ' state governments should be given more power']","[' state governments to have more power', ' state governments to be more powerful', ' state government to be more powerful']"
440,Supporters of stricter gun control argue that broad gunrights inhibit the government from fulfilling that responsibility...,inhibit,Gun Rights,Confinement,Threat,"[' none', ' get arrested', ' have less power']","[' supporters of gun control', ' supporters of gun rights', ' supporters of strict gun control']","[' people to be safe', ' people to feel safe', ' people to feel safer']","[' none', ' get arrested', ' have a gun']"
441,This country could use alot more of that for sure but it is clear to me the GOP has taken wealth worship to a new level and it is not a balenced aproach.,worship,Wealth,A God,God,"[' none', ' get rich', ' get a job']","[' this is not a good thing', ' this is not a good way to live', ' this is not a good way to be.']","[' this is not a good thing', ' this is not a good idea', ' this is not the way to go']","[' this is not a good thing', ' none', ' this is not a good idea']"
442,Now an anti-gun activist writes a letter in the tone that Joe wrote to express his sympathy for the father but goes on to defend a no guns policy.,defend,Guns,Struggle,Threatened,"[' none', ' get a letter in return', ' get a letter in the mail']","[' angry', ' angry at the father', ' proud of his opinion.']","[' persony is angry at persony for writing the letter.', ' persony is angry at persony for writing the letter', ' persony is angry at persony for writing a letter.']","[' they get a letter back from the anti-gun activist', ' they get a letter back from the person who wrote the letter', ' they get a letter back from the person who wrote it']"
443,"Labels: Franken stealing the election, Run-off elections",stealing,Elections,Theft,Property,"[' none', ' run for office again', ' run for office']","[' PersonX wins the election.', ' PersonX wins the election in the first place.', ' PersonX wins the election']","[' PersonX wins the election', ' PersonX wins the election.', ' PersonY wins the election']","[' PersonX wins the election', ' PersonX wins the election.', ' PersonX votes for PersonY']"
444,"The progressive tax reduces income disparity, it doesn't increase it. the more progressive our tax system, the less disparity that exists.",reduces,Taxation,Downward Movement,Threat,"[' the tax system is a good thing', ' the tax system is fair', ' the tax system is more fair']","[' responsible', ' rich', ' wealthy']","[' the tax system to be fair', ' the tax system is a good thing', ' the tax system to be more fair']","[' pay less taxes', ' the government to be fair', ' the government to be more fair']"
445,"Modernizing the State (strengthening the rule of law and democracy, reforming the legal system), humanitarian and food aid (many NGOs are represented), medical research, emergency medicine, and baroque music.",strengthening,Government,Building/Strength,Built,"[' modernizing the state', ' modernizing', ' modernizing society']","[' modernizing', ' good for the world', ' modernizing the state']","[' modernizing', ' modernizing the state', ' modernizing the law']","[' human rights', ' modernizing', ' modernizing society']"
446,The courts are not going to protect gun rights.,protect,Gun Rights,Protection,Threatened,"[' none', ' have to pay for it', ' have to pay for the gun']","[' the government is not going to protect the rights of the people', ' the government is not going to protect the rights', ' the government is not going to protect the rights of the people.']","[' the law is not being followed', ' the gun is illegal', ' the gun owner to have a gun']","[' the law to be broken', ' the gun is illegal', ' the law is not enforced']"
447,Let's remember the ultimate reason gun control is evil,evil,Control of Guns,Monster,Threat,"[' none', "" let's others know"", "" let's people know""]","["" let's people know"", "" let's others know"", "" let's the people know""]","["" let's people know"", "" let's others know"", "" let's the people know""]","["" let's people know"", "" let's others know"", ' let people know']"
448,"In response to the impact on the real economy in the developed world, social mobilisation must focus on developing a new economic paradigm and a vision of a system of global social democracy.",system,Democracy,Machine,Built,"[' make a plan', ' get a job', ' get a new job']","[' social change', ' social movements', ' social justice']","[' social change', ' get a job', ' get a better job']","[' social change', ' get a job', ' get a new job']"
449,"In the CIA, bureaucracy weakens intelligence collection and makes Americans vulnerable to attack.",weakens,Bureaucracy,Physical Harm/Weakness,Threat,"[' none', ' have less information', ' have less money']","[' in need of help', ' in power', ' ineffect']","[' in need of help', ' in need of more money', ' in need of more people']","[' none', ' in power', ' ineffectual']"
450,We agree that gun control will win because Americans aren't willing to kill over it.,win,Control of Guns,Competition/Game/Struggle,Winner,"[' none', ' get shot', ' we agree']","[' gun control', ' we agree', ' defeated']","[' we are all in the same boat', ' we agree on what to do about it', ' we are all in the same boat.']","[' none', ' gun control', ' gun control laws']"
451,The view that democracy alleviates social disparities and income inequalities stems from the argument that political enfranchisement in the form of suffrage empowers those who are on the margins of society (Lipset 1959; Lenski 1966; Muller 1995).,alleviates,Democracy,Disease/Medicine/Physical Burden,Protection,"[' the poor to be able to participate in politics', ' the poor to be able to vote', ' the poor to have a better life']","[' the poor to have a better life', ' the poor to be able to vote', ' the poor to be able to participate in politics']","[' the poor to be able to vote', ' the poor to have a better life', ' the poor to be included in the society']","[' the poor to be able to vote', ' the poor to have a better life', ' the poor to be able to vote.']"
452,"Remember: He did not have to steal the entire election, just a little piece of it in Florida.",steal,Elections,Theft,Property,"[' win the election', ' none', ' get a new job']","[' angry', ' defeated', ' corrupt']","[' win the election', ' win election', ' win the election.']","[' get a new job', ' none', ' get elected']"
453,"This theme gets repeated, you know, in the war on poverty, again, where you have liberals trying to, you know, essentially have a war of poverty to deal with racial injustices.",war,Poverty,War,Conflict,"[' have a war on poverty', ' none', ' have to deal with the problem']","[' this is a theme in the war on poverty', ' this is a theme in the war on poverty.', ' this is a theme in the war on poverty as well']","[' this is a theme in the war on poverty', ' this is a theme in the war on poverty.', ' this is a theme in the war on poverty as well']","[' this is a theme in the war on poverty', ' this is a theme in the war on poverty.', ' this is what they are trying to do']"
454,A disgraced former Newfoundland and Labrador cabinet minister pleaded guilty Friday to charges that included defrauding taxpayers of money paid through his legislative allowance. more »,defrauding,Taxation,Theft,Victim,"[' get arrested', ' get caught', ' a criminal conviction']","[' guilty', ' criminal', ' bad']","[' guilty', ' a criminal', ' criminal']","[' a criminal', ' a guilty verdict', ' a guilty plea']"
455,"Yet, with that being said, there is still the case to be made that strict gun control feeds into the problem regardless of race.",feeds,Control of Guns,Food,Beneficial,"[' gun control', ' gun violence', ' gun control laws']","[' violent', ' controlling', ' dangerous']","[' gun-free', ' violent', ' gun control']","[' gun control', ' gun violence', ' gun control laws']"
456,"First of all...I don't like the argument that Nader steals votes from Democrats, even though that's partially why third parties are good (I'll get to that later).",steals,Elections,Theft,Property,"[' none', ' have to vote for someone else', ' have to vote for the other party']","[' independent', ' neutral', ' angry']","[' none', ' first ballot', ' get elected']","["" first of all, I don't like the idea of third parties."", "" first of all, I don't like the idea of a third party."", "" first of all, I don't believe in Nader.""]"
457,"However, while some states have successfully strengthened their gun laws and blocked efforts by the gun lobby to weaken existing laws, a number of states continue to drag their feet on gun safety measures, putting children in danger.",strengthened,Control of Guns,Building/Strength,Built,"[' none', ' children are killed', ' children die']","[' children to be safe', ' children to live in safe places', ' children to live in safe environment']","[' children to be safe', ' children to live in a safe environment', ' children to live in safe places']","[' have less money', ' none', ' children are being killed']"
458,"In Costa Rica in May 1997, President Arzu met with President Clinton and his counterparts from Central America, Belize, and the Dominican Republic to celebrate the remarkable democratic transformation in the region and reaffirm support for strengthening democracy, good governance, and promoting prosperity through economic integration, free trade, and investment.",strengthening,Democracy,Building/Strength,Built,"[' in a meeting with president of other countries', ' make a speech', ' make a speech to the people']","[' have a good relationship with the other countries', ' President Arzu meets with President Clinton', ' have a good relationship with the president']","[' President Arzu meets with the leaders of the region', ' President Arzu meets with the leaders of the region.', ' President Arzu meets with the leaders of other countries']","[' President Arzu meets with the leaders of the region', ' President Arzu meets with the leaders of the region.', ' President Arzu meets with the leaders of other countries']"
459,"This time, they vowed, Republicans would not get away with stealing an election.",stealing,Elections,Theft,Crime,"[' none', ' get arrested', ' get elected']","[' angry', ' defeated', ' victorious']","[' this is not the first time', ' this is not the last time', ' this is not the last election']","[' win the election', ' win election', ' win the next election']"
460,» RE: Logical fallacy of the Left: You can't stop gun violence by attacking guns Posted by: drobinson2,attacking,Guns,War,Threatened,"["" they don't want to be a part of the problem"", "" they don't want to be a part of the solution"", "" they don't want to be a part of it""]","[' angry', ' intelligent', ' violent']","[' justified', ' angry', ' defeated']","["" they don't know what they are talking about"", "" they don't know what they're talking about"", "" they don't know what they are talking about.""]"
461,"In a settled society, government exacts tribute from everyone that works or buys and sells.",exacts,Money,Forceful Extraction,Extractor,"[' have to pay taxes', ' none', ' have less money']","[' rich', ' in power', ' in control']","[' in debt', ' in power', ' inhumane']","[' none', ' get rich', ' in power']"
462,The political framework that created the most recent dark days of gun control: how do we keep guns out of the hands of criminals?,dark days,Control of Guns,Darkness,Entity,"[' the gun control laws', ' the law', ' the gun control movement']","[' responsible', ' violent', ' controlling']","[' responsible', ' safe', ' the law']","[' gun control laws', ' gun control', ' the gun control laws']"
463,Obama's election illuminates BOTH how far we have come and how much farther we need to go on race relations.,illuminates,Elections,Light,Entity,"[' none', ' they get a new job', ' they get a chance to lead']","[' hopeful', ' proud', ' happy']","[' they get a chance to change the world', ' they get a chance to do something about it', ' they get a chance to do something else']","[' they get a chance to change the world', ' they get a chance to do something about it', ' they get a chance to change the world.']"
464,Is that most of your fellow gun worshippers?,worshippers,Guns,A God,God,"[' none', ' is shot', ' is afraid']","[' is a gun worshipper', ' is a gun owner', ' is a gun worshipper.']","[' is a gun owner', ' none', ' is in a church']","[' none', ' is a gun owner', ' is in a church']"
465,Is he that ignorant of how math works that he thinks the 5% additional tax on the select few will cure the woes and allow the government to keep spending like drunken sailors on leave?,cure,Taxation,Disease/Medicine,Protection,"[' none', ' is told that he is wrong', ' is told to pay more taxes']","[' incompetent', ' ignorant', ' stupid']","[' is not smart enough to understand the math', ' is ignorant of how to do math', ' is ignorant of how things work']","[' is ignorant of how to do math', ' is not smart enough to understand the math', ' is ignorant of how things work']"
466,"Photographed with a special rotating camera that registers a 360-degree view in one continuous take - the five-second-long-revolution to which the title of these works refers - they depict interior views of private lofts, once bohemian quarters of artists, now spacious and stylish realms of urban affluence and decorative ambition.",realms,Wealth,Physical Location,Scale,"[' take a picture of it', ' take a picture of the view', ' take a picture of the building']","[' artistic', ' artful', ' creative']","[' art deco', ' art deco buildings', ' art gallery']","[' take a picture of it', ' take a picture of the building', ' take a picture of the room']"
467,Money$kills Camp,kills,Wealth,Physical Harm,Threat,"[' none', ' money', ' get arrested']","[' money', ' money is not allowed in the camp', ' money is not allowed in the camp.']","[' money', ' PersonX gets arrested', ' PersonX buys a gun']","[' money', ' PersonX gets arrested', ' PersonX buys the camp']"
468,Not every action can justify the democracy progression.,progression,Democracy,Forward Movement,Agent,"[' none', ' not good enough', ' not good for democracy']","[' not good enough', ' not all things are equal', ' not enough people are voting']","[' not good enough', ' none', ' not good for democracy']","[' none', ' not good enough', ' not good for democracy']"
469,"The teachers union not only plays the poverty card, but by battling reforms, ensures that the impoverished will remain that way ""No Education Reform Without Tackling Poverty, Experts Say,"" is the title of an article on the National Education Association website.",card,Poverty,Game,Aid,"[' none', ' the poor to stay poor', ' the poor to stay poor.']","[' the poor to stay poor', ' the poor to remain poor', ' the poor to be poor']","[' the poor to stay poor', ' the poor to stay in poverty', ' the poor to stay poor.']","[' none', ' the teachers union to be in charge of education', "" the teacher's union to be in charge""]"
470,They are the ditch carp in the great river of democracy.,river,Democracy,Body of Water,Body of Water,"[' none', ' they have a place to live', ' they have a lot of fun']","[' they are a part of the community', ' they are a part of the system', ' they are a part of a community']","[' they are a part of the community', ' they are a part of society', ' they are a part of a community']","[' they are a part of the community', ' they are a part of society', ' they are a part of a community']"
471,"They criticise the movement on the grounds that, There is no discussion of even the possibility of founding powerful new political parties, fighting elections, winning office and forming governments with a mandate for fundamental economic and social change "" (p.106).",fighting,Elections,Struggle/War,Side,"[' none', ' they do not want to be a part of the movement', ' they do not want to be part of the movement']","["" they don't want to be a part of the movement"", "" they don't want to be part of the movement"", ' they do not want to be part of the movement']","[' none', ' they do not want to be a part of the movement', ' they do not want to be part of the movement']","[' none', ' they do not understand the movement', ' they do not understand the issues']"
472,The last thing we can afford is four more years where no one in Washington is watching anyone on Wall Street because politicians and lobbyists killed common-sense regulations.,killed,Bureaucracy,Crime,Threatened,"[' none', ' get a new job', ' get a raise']","[' greedy', ' responsible', ' powerful']","[' the government to be in charge of the financial system', ' the government to be in charge', ' the government to be in charge of the economy']","[' none', ' get a new job', ' get a raise']"
473,We know your side is at least one of two things 1) ignorant-if they think gun restrictions will decrease crime when those laws mainly target honest people 2) dishonest-when they claim that crime control really motivates them when it does not,decrease,Control of Guns,Downward Movement,Protection,"[' none', ' we know your side is ignorant', ' we know your side is ignorant.']","[' we know they are lying', ' none', ' we know you are lying']","[' none', ' we know they are lying', ' we know you are lying']","[' none', ' we know your side is ignorant', ' we know they are lying']"
474,Its work fosters an informed citizenry and strengthens democracy.,strengthens,Democracy,Building/Strength,Built,"[' none', ' people to be informed', ' people to be educated']","[' its work is good for the country', ' its work is good for society', ' its work is good for the country.']","[' its work is important', ' its work is respected', ' government']","[' people to be informed', ' people to be educated', ' people to learn about']"
475,"Metro is reliable and runs underground, the city government operates the RTP bus system and Electric Trolley buses.",operates,Government,Machine,Business,"[' get to work on time', ' ride the bus', ' ride the subway']","[' the city has a good transportation system', ' the city has a good transit system', ' the city has a transportation system']","[' subway system', ' transportation system', ' transportation']","[' get to work on time', ' ride the bus', ' ride the subway']"
476,"Liberal_in_LA (31,971 posts) Romney's mountain of wealth could cast loud echo, he's a .006 percenter Romney's mountain of wealth could cast loud echo",mountain,Wealth,Hazardous Geographic Feature,Scale,"[' none', ' he has a lot of money', ' he has a lot of money.']","[' he has a lot of money', ' none', ' he has a lot of money.']","[' none', ' he has a lot of money', ' he has a lot of money to spend']","[' none', ' he has a lot of money', ' he has a lot of money to spend']"
477,"Indeed the longtime lobbyist has lobbied for dictatorships and corrupt governments which have stolen elections and enslaved their people, including Equatorial Guinea, Kazakhstan, Eritrea, Bahrain, Gambia, and Thailand.",stolen,Elections,Theft,Crime,"[' get a lot of money', ' none', ' get a lot of work done']","[' powerful', ' none', ' is paid']","[' they get a lot of money', ' they get a lot of work done', ' they get paid for their work']","[' none', ' get rich', ' they get paid']"
478,"So as he flounders in the sea of gun control, and watches over a security apparatus that ought to have prevented the Bostom Bombings, he might look upon Syria as a chance to change hats to Horatio Hornblower.",sea,Control of Guns,Body of Water,Body of Water,"[' none', ' to change hats', ' to change his mind']","[' soothed', ' none', ' soothed.']","[' none', ' get a new job', ' to change hats']","[' none', ' to change hats', ' get a new job']"
479,Don't let democracy win!,win,Democracy,Competition/Game,Side,"[' none', "" don't let democracy win"", "" don't want to lose""]","["" don't let democracy win"", "" don't want to lose"", "" don't like democracy""]","["" don't let democracy win"", "" don't let them win"", "" don't vote for them""]","["" don't let them win"", "" don't let democracy win"", "" don't vote for them""]"
480,A Democracy steals freedom from its citizens.,steals,Democracy,Crime/Theft,Criminal,"[' none', ' get arrested', ' people get arrested']","[' a democracy', ' a dictatorship', ' a democracy.']","[' none', ' a democracy', ' a dictatorship']","[' none', ' get arrested', ' a dictatorship']"
481,"The top story is about the victory of progressive taxation with the fiscal cliff, the next one is some pro-SSM ""marriage equality"" bull**** and the one following is essentially about wanting a more progressive president and saying Obama is falling short of that.",victory,Taxation,Struggle,Winner,"[' none', ' the people are angry at the president', ' the people are angry at the president.']","[' the president to be a good leader', ' the president to be a good person', ' the president to be a good president']","[' none', ' the president to be a good leader', ' the president to be a good president']","[' none', ' get a new job', ' get a new president']"
482,But one reason for opposing smart guns is for the same reason many oppose voter ID laws-it is overly restrictive and will hurt minority groups especially hard due to the higher costs.,opposing,Guns,Struggle,Side,"[' none', ' have less money', ' have to pay more']","[' gun control', ' angry', ' scared']","[' have to pay for it', ' have to pay more for it', ' have to pay more for the gun']","[' have to pay for it', ' have to pay more for it', ' none']"
483,"One anonymous wag once suggested that while a fine is a tax for doing something wrong, tax is a fine for doing something right!",fine,Taxation,Crime,Crime,"["" one's own way of doing things."", "" one's own way of doing things"", "" one's own way of doing something.""]","[' immoral', ' responsible', ' smart']","[' guilty', ' immoral', ' good']","[' none', ' tax', "" one's own way""]"
484,"Latin American countries need to fight poverty more aggressively if they want to grow more and compete with China and other dynamic Asian economies, says a new World Bank report.",fight,Poverty,Struggle,Enemy,"[' get out of poverty', ' to fight poverty', ' get a job']","[' poor', ' hard-working', ' hardworking']","[' get out of poverty', ' get out of poverty.', ' get out of debt']","[' to fight poverty', ' get a job', ' get a loan']"
485,"Live Simply - Invest In What MattersThe reality is, wealth can corrupt and poverty can corrupt.",corrupt,Wealth,Contamination,Threat,"[' buy a new car', ' buy a new house', ' buy a house']","[' live a simple life', ' have less money', ' have less money to spend']","[' live a simple life', ' buy a house', ' buy a new car']","[' live a simple life', ' buy a new car', ' buy a house']"
486,MILLER: Second Amendment crumbling as gun control victories spread,victories,Control of Guns,Competition/War,Winner,"[' none', ' have to defend themselves', ' have less money']","[' MILLER HAS NO MONEY', ' MILLER HAS NO MONEY.', ' MILLER']","[' MILLER', ' MILLER ON GUN CONTROL', ' MILLER ON GUN CONTROL MOVEMENT']","[' none', ' have to defend themselves', ' have to defend himself']"
487,You see this executive order as basically nothing that impacts gun owners here in the US.,impacts,Guns,Physical Harm,Threatened,"[' none', "" you don't have to worry about it"", "" you don't have to worry about it.""]","["" you don't have to worry about it"", "" you don't want to get in trouble"", "" you don't have to worry about it.""]","["" you don't have to worry about it"", "" you don't have a gun"", "" you don't have to worry about it.""]","["" you don't have to worry about it"", "" you don't have a gun"", "" you don't have to worry about it.""]"
488,Discuss: It's election season...do you have your voters guide?,season,Elections,Science,Conflict,"[' none', ' get a copy of the voters guide', ' get a copy of the guide']","[' discuss election issues', ' talk about election', ' discuss the election']","[' discuss with friends', ' discuss election issues', ' discuss election']","[' discuss about the voters guide', ' discuss election issues', ' discuss election issues with friends']"
489,Facebook0 Twitter0 livefyre Email Print Americans Get a Peek into Constitutional Chasm; Santorum: Still Ferocious Supremes Dive Into Constitutional Chasm on Obama Health Law ADVERTISEMENT ADVERTISEMENT,Chasm,Democracy/Government,Barrier,Barrier,"[' social media', ' Facebook', ' none']","[' social media', ' Social media', ' Facebook']","[' social media', ' Social media', ' Facebook']","[' social media', ' Facebook', ' Social media']"
490,"After all, gun control cures cancer and makes every day sunny.",cures,Control of Guns,Medicine,Protection,"[' have less to worry about', ' none', ' have a better life']","["" After all, it's not a crime."", "" After all, it's not about the money."", "" After all, it's not about money.""]","[' gun control', ' gun control laws', ' gun control movement']","[' have a better life', ' gun control', ' gun control laws']"
491,Your generous contributions go directly to the front lines of the gun rights fight.,fight,Gun Rights,Struggle,Conflict,"[' donate to gun rights group', ' donate to gun rights groups', ' donate to gun rights cause']","[' your money goes to the right cause', ' your money will be used to help others.', ' your money will be used to fight the war']","[' your money will be used to fight for the rights of others.', ' your money is being used to fight for the rights of others', ' your money is being used to fight for the rights of the people']","[' donate to gun rights group', ' donate to gun rights groups', ' donate to gun rights cause']"
492,"A gun wouldn't have helped this man unless he was psychotic, though.",helped,Guns,Servant,Servant,"[' none', ' get arrested', ' get shot']","[' a gun', ' scared', ' a criminal']","[' a gun', ' a gun.', ' a gun to kill']","[' a gun', ' get arrested', ' get shot']"
493,"The organization says the housing agency needs to allocate low-income tax credits in a way that helps to dilute poverty, instead of concentrating it.",dilute,Poverty,Resource,Change Type,"[' have less money to spend', ' have less money', ' have less money to pay bills']","[' poor', ' helpful', ' needy']","[' the housing agency', ' the housing agency to be fair', ' the housing agency to be more efficient']","[' the housing agency to help people who are poor', ' the housing agency to help people who are poor.', ' the housing agency to help people who need it the most']"
494,"In a lasseiz-faire society which applies caveat emptor, the government is a remedy to corruption.",remedy,Government,Disease/Medicine,Protection,"[' none', ' get a job done', ' get a job']","[' in power', ' in charge', ' in control']","[' none', ' in power', ' in charge']","[' none', ' in a free society', ' in charge of the people']"
495,Democracy is a bonfire; the American people kindle the flame.,bonfire,Democracy,Fire,Fire,"[' none', ' have a good time', ' have a good life']","[' energized', ' the people to have a good time', ' the people are in charge of the country']","[' the people of the United States of America', ' the people of the United States of America to be free', ' the people of the United States of america']","[' none', ' burn down', ' get burned']"
496,"It appears that you are unaware that the counting process is an integral part of true democracy, and democracy extracts a very high price on the individual.",extracts,Democracy,Forceful Extraction/Resource,Extractor,"[' none', ' get arrested', ' get a job']","[' greedy', ' angry', ' honest']","[' it is not a good idea', ' it is not a good thing', ' it is not fair']","[' none', ' it is not fair', ' it is not a democracy']"
497,"Advertisement Viking stadium complex would produce taxes By DL News Staff on Apr 10, 2006 at 12:00 a.m. Email Tweet Minnesota would receive $100 million annually in new taxes if the state allows the Vikings to build a stadium and retail complex, senators heard Wednesday.",produce,Taxation,Factory,Product,"[' pay taxes', ' make money', ' pay for it']","[' tax breaks', ' money', ' tax increase']","[' pay taxes', ' pay for it', ' pay for the stadium']","[' make money', ' pay taxes', ' pay for it']"
498,"In other words: if we fall asleep at the wheel, it will guarantee that the vehicle of democracy will crash into a catastrophic brick wall.",vehicle,Democracy,Machine/Vehicle,Barrier,"[' inattentive', ' inattentive mode', ' inattentive mood']","[' irresponsible', ' careless', ' sleepy']","[' inattentive', ' inebriated', ' inattentiveness']","[' inattentive', ' fall asleep at the wheel', ' inattentive state']"
499,"Well, let me say first, that I think we're all advocating for change; we all want to change the status quo, which is George Bush and the Republican domination of Washington for so many years.",domination,Government,Enslavement,Leader,"[' none', ' get a new job', ' get a new president']","[' well-intentioned', ' well-spoken', ' well-intentioned.']","[' well-intentioned', ' well-intentioned people', ' well-intentioned.']","[' none', ' change the status quo', ' change the status quo.']"
